제시어,헤드라인,주요내용,발표일,출처(URL),중요도,대상 국가,점수,비고
관세,"중국, 다음달부터 모든 아프리카 수교국에 ‘제로 관세’ 적용 - 마켓인","중국, 다음달부터 모든 아프리카 수교국에 ‘제로 관세’ 적용&nbsp;&nbsp;마켓인","Tue, 28 Apr 2026 23:42:13 GMT",https://news.google.com/rss/articles/CBMic0FVX3lxTE9VNUJtd1BRemwweGdPRmVsUW9veW00QmZER2RSSHV2dVNacDBYZW8xX3UtbS16NTAtZ1hSNzY2V19nc0dZY2ppWURIb0JyUlJFaGVvQUlYeHZ0SnJxeTdaMkxNM0x3UE02RGl1bGdHTDBoS0k?oc=5,하,,6,
관세,"""트럼프 관세로 정부적자 10년간 1.1조 달러 증가할 것"" --CBO국장 - 뉴시스","""트럼프 관세로 정부적자 10년간 1.1조 달러 증가할 것"" --CBO국장&nbsp;&nbsp;뉴시스","Tue, 28 Apr 2026 22:54:50 GMT",https://news.google.com/rss/articles/CBMiYEFVX3lxTFAtQ1J2ei00RUt5czBsOXd3dmNEUHlRUzMxdXdNTVcwLXFVLWJNYlJWOHJkbFZqYmFDQ1F5TjhMVmwzN3VhaHZtWHlXdWNhREVGVTF0NnFmTzA5T3JQZFBEUtIBeEFVX3lxTFA4ZmsxakZKdU5MM0YtZllUcy1RVXVTRWtYZVpOOXFobUhhSkZQX2hReXlwMlJNb0plWEtKQjg1c3lKbHF5dFZiT3Y2dFM4TVpfQ3BEUS1CSk9lMlB4el9mUGk5TjhNTGpJaXVFRFFGeHpaR1pzTzdQZw?oc=5,하,,5,
관세,미국 관세 맞서던 카니 총리...‘스트롱 캐나다 펀드’ 유치 나섰다 - 서울경제,미국 관세 맞서던 카니 총리...‘스트롱 캐나다 펀드’ 유치 나섰다&nbsp;&nbsp;서울경제,"Tue, 28 Apr 2026 21:20:00 GMT",https://news.google.com/rss/articles/CBMiUkFVX3lxTE1rN2FLYWRKdGhpa1JXQl9fNmFpeFdEUmR0S2NBS3FtZ0NYb1NfdTFJQUh1b1pqMTVmM0tNanR2MlVacTdhZmVZRG5Eb01DWnc4aVHSAVNBVV95cUxQdlF4eEl5dWtLVjR0bU9SWEdfVVdvTnhSZjIwM3duVE1Xc3ZNZnhFVmRfdWYwYmc4Z3MwZkVzVmxoSjRQLWJZWFdxRU9vRTUtbTBZTQ?oc=5,하,,5,
관세,트럼프도 놀라 관세 유예했다…멕시코 첫 女대통령 ‘귓속말’ - 중앙일보,트럼프도 놀라 관세 유예했다…멕시코 첫 女대통령 ‘귓속말’&nbsp;&nbsp;중앙일보,"Tue, 28 Apr 2026 20:01:56 GMT",https://news.google.com/rss/articles/CBMiVkFVX3lxTFBGc1ZZZl9Sc3RwNFExNm9BSUJ4VGNHY3hqTXg5UDVFTGJEWXpOVnFRTWhYUE1kMUtwZFprMWhmMXBtX1FfbWQ3aDVsbjA0UkQ0Rm43LUR3?oc=5,하,,6,
관세,"GM, 관세 환급 효과에 ‘호실적’…주가 5%↑ - 마켓인","GM, 관세 환급 효과에 ‘호실적’…주가 5%↑&nbsp;&nbsp;마켓인","Tue, 28 Apr 2026 11:30:45 GMT",https://news.google.com/rss/articles/CBMic0FVX3lxTE15VWpHTFpITlAzeHdvVGM0Qmc2X0E0QUJ3MjBHZXl0WHBvRkxNazRBeXZFN3NhdWpSRFUtSTUyLVpac3QwcnYzU3dJbURvSnpvcmhadExxS0dwTm1aM0tvcWpCX0x5eTNUUUxvM0VtY0xHWk0?oc=5,하,,5,
관세,"GM,""관세환급도 챙겼더니""…1분기 이익 증가 - v.daum.net","GM,""관세환급도 챙겼더니""…1분기 이익 증가&nbsp;&nbsp;v.daum.net","Tue, 28 Apr 2026 12:43:02 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTE9vaHlYNG9mSmRNbWlVSnBoeXFxU09HYVJTdWdyVWdtTEpsOFZ6aG5Mb2dOQ3k4bndpTmI0M2Y5NlVjYTBRS3J1VDRhMjREX1E?oc=5,하,,5,
관세,"GM, 상호관세 무효에 5억달러 환급 기대…올해 실적 전망 상향 - 뉴스1","GM, 상호관세 무효에 5억달러 환급 기대…올해 실적 전망 상향&nbsp;&nbsp;뉴스1","Tue, 28 Apr 2026 23:26:59 GMT",https://news.google.com/rss/articles/CBMiWEFVX3lxTE1PT0Fhd252ckdnaEk3RFFxMlRtbi1uMVA3M1luTl9zd2pNTE5XaGpRUzFlRkJsQlNSUDBERng3V01JWGJ4TnZrazNjOVdNVmx2aVY5RW1VYWY?oc=5,하,,5,
관세,"[현대차] 현대차, 관세 8600억에도 시장이 기대를 놓지 않는 이유(2026년_1Q) - 네이버 프리미엄콘텐츠","[현대차] 현대차, 관세 8600억에도 시장이 기대를 놓지 않는 이유(2026년_1Q)&nbsp;&nbsp;네이버 프리미엄콘텐츠","Tue, 28 Apr 2026 04:18:00 GMT",https://news.google.com/rss/articles/CBMiiAFBVV95cUxQYUlfb0RCODMwZUI3OHhpY0VfbjFJM3phUnlOanRub1Y3emtJNmhralk5NzlneFNUV3BfcC1TQ1g0czl6QkljdkRDcF8tdFNoVFl3VmtDcmxXQXVZTXJVbjhaaVFOSGU3UVhjMHprNUs0ZFVEZVcwUjV5X0J5UWhvQjFXcHhDOUtG?oc=5,하,,5,
관세,저가車 美서 사라지나…관세에 외국차 ‘철수 경고’ - 글로벌이코노믹,저가車 美서 사라지나…관세에 외국차 ‘철수 경고’&nbsp;&nbsp;글로벌이코노믹,"Tue, 28 Apr 2026 20:00:00 GMT",https://news.google.com/rss/articles/CBMiiAFBVV95cUxNOURpTFRoYkFyVjBXZE9CbldkNXdrZXJnWFhNbE1PVDB4czdRRUZyUVRVMHAxbnBIQWxRR2s5SXJYdE0teG9wRk14MUxGRE1iZEM0V0FsYnRiSGdIZGtod0V6cmdGMjg1VkU1VUNkMkJwbWNzYVBhcmdMYVFjWkd6TzkwRUFOVnBu?oc=5,하,,5,
관세,"""USMCA 보고 왔는데""…외국 車업체, 美시장서 저가모델 철수 경고 - v.daum.net","""USMCA 보고 왔는데""…외국 車업체, 美시장서 저가모델 철수 경고&nbsp;&nbsp;v.daum.net","Tue, 28 Apr 2026 04:57:07 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTE5MWFJGUkh1bXhBN21DSVpVLTdOdldUMFZ1ZjgwWWhBeUozUW9vUC0wMnVDVVZ4aUtDdlpkRHR5Qlc1VDVXOEtiMmdJaWYzaTA?oc=5,하,,1,
