제시어,헤드라인,주요내용,발표일,출처(URL),중요도,대상 국가,점수,비고
관세,"오픈AI ""中연계세력, 챗GPT로 美관세·AI산업 비난여론 조작 시도"" - 뉴스1","오픈AI ""中연계세력, 챗GPT로 美관세·AI산업 비난여론 조작 시도""&nbsp;&nbsp;뉴스1","Wed, 10 Jun 2026 23:38:48 GMT",https://news.google.com/rss/articles/CBMiWEFVX3lxTE1jRjNqWlNGdWh6X21kNUJaWVBCZ19yQnU4ODR3bVhLNjVmUE1ucHdONWNxMUFuQlFQek5BNDlvRXk1WGRfVGJUemhMLVVJTnZmdXJTcjJfZ3Q?oc=5,하,,5,
관세,"美 GE 어플라이언스 CEO ""美 공장 지으라면서 설비 수입에 관세"" - 한국경제","美 GE 어플라이언스 CEO ""美 공장 지으라면서 설비 수입에 관세""&nbsp;&nbsp;한국경제","Wed, 10 Jun 2026 23:24:01 GMT",https://news.google.com/rss/articles/CBMiWkFVX3lxTE5HVTZQVy1id3Vid0pIYVNKTjhwWnZrWW1iTXd5cG9PczBKdkhSSUVnSUhoc3N1elpoRXU0aWEybDZRMjZyODNIemNzdnJjR1FXTllKbFZ6SUpGUdIBVEFVX3lxTFB5S1JYR0dvUzA0d0RmMHRhQWFoc2d5dzJNZG9MR083V1A4U2s0S3VWMm1TWXpRT2JRQnVuQm51ejZ3LXVBZE1pa0Y1aFFqeDRTb1FyYQ?oc=5,하,,6,
관세,"“韓보다 관세 더 내”… 멕시코, 美와 무역협상서 車 관세 역차별 불만 - 조선비즈 - Chosunbiz","“韓보다 관세 더 내”… 멕시코, 美와 무역협상서 車 관세 역차별 불만 - 조선비즈&nbsp;&nbsp;Chosunbiz","Wed, 10 Jun 2026 02:46:00 GMT",https://news.google.com/rss/articles/CBMingFBVV95cUxOWTlvZUlGVmN4eEhRUkVhMGEwak9YZTVYRnBWVUEwaFhhVzc3ajBFalpzTHE5cEFtRzR0YzhVMFEyeUZfZmNNVXdhTnlSOFk2b0ZRbmlFWUphNVdJNVp1V05FWEZZM1Z6MXJtMlJtVkhsRHpNWEQ1VGNYdmZQSzFJaXU2VFdNeUplUU5zRUFJQ25uanFweHV0N3ljOWtvZ9IBsgFBVV95cUxNaFIzTncxZ0lTY013LWNVWXBQbllVUlNfc041dlN5WUtWcG13LVh0M3BfQlVISG5QZ3NETE5raWpObXRBN012ME1icTFOZVNZZ3FiZW4yNFlEUTBSeWloRWxtTWVyM084S2N0N3oxa3lqYURPWkJBRTFScXF3NG8tTEZnMHpvMWNacktxcEFtUnB2SUtuM2JhVWdGV25qcDltNm1XZzJQQ3FOdXJtc1pJLWpn?oc=5,하,,6,
관세,"멕시코 “자동차 관세, 한국·일본보다 불리”…미국 “이해하고 있다” - v.daum.net","멕시코 “자동차 관세, 한국·일본보다 불리”…미국 “이해하고 있다”&nbsp;&nbsp;v.daum.net","Wed, 10 Jun 2026 02:49:35 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTE1IMjF0bkFfNnNEUlplRzR3RGktZ25kSFc3Z0VLQVU3U2FIUnlFN3B0Tmhad0FhY2cyT0JBb09JVzJrOC1PdS1MVDRsamdJd28?oc=5,중,,7,
관세,"""韓·日보다 우리가 車관세 더 높아""…멕시코, USMCA 협상서 항의 - 뉴스1","""韓·日보다 우리가 車관세 더 높아""…멕시코, USMCA 협상서 항의&nbsp;&nbsp;뉴스1","Wed, 10 Jun 2026 01:46:29 GMT",https://news.google.com/rss/articles/CBMiXEFVX3lxTFBSN0dJYmZSX24tM2dqWEFwSjdySWhkRU9DWUNjRnIzaFBWNHhPMjBoQWlvUTdBUWtNY05YaVR0OU9NekdpYW5VLUtRamhLQVUydXUwOV9Wd01aeU1a?oc=5,하,,6,
관세,"EU, 철강 ‘관세 폭탄’ 코앞… 이 대통령 벨기에 순방이 돌파구 열까? - 녹색경제신문","EU, 철강 ‘관세 폭탄’ 코앞… 이 대통령 벨기에 순방이 돌파구 열까?&nbsp;&nbsp;녹색경제신문","Wed, 10 Jun 2026 04:17:59 GMT",https://news.google.com/rss/articles/CBMiaEFVX3lxTE9ndUsxWjUtemc3ajBpRUQ4bUs2Z2RPOWYtTHBJUW82NXRUMlVlWmVuQ01vWTFnc2ptcTl2eDQ2MDhzSEFuak9CdjFzRExnajNmZHpkOGxfSVNsUjE2WDVkb3p5WmRQNDRE?oc=5,하,,5,
관세,"李, EU에 철강·탄소규제 완화 요청…우대관세 적용 물꼬 - 서울경제","李, EU에 철강·탄소규제 완화 요청…우대관세 적용 물꼬&nbsp;&nbsp;서울경제","Wed, 10 Jun 2026 15:23:23 GMT",https://news.google.com/rss/articles/CBMiUkFVX3lxTE8tSkxuQ1lwRDg1UzV2eEtXSXVMMm5LS1JkeTRsY3drSzVSWWpIXzdxbzFUdFNvSjNscld2ZHd4UGMxSnkzVG9uM3hXOXpmczVJYWfSAVNBVV95cUxOMF9NTnVtdkpKMFM1UXE0MmxWZXF1VGFoZTdibGJUbHIxYWVsNVkxLTBteG5nclBlRGlSMDNJblZXamZlcmQyYkVWRTd2aDVHR1ZQNA?oc=5,하,,5,
관세,"한-벨기에, 배터리·에너지 협력 확대하기로…EU와 철강관세 논의(종합) - 뉴시스","한-벨기에, 배터리·에너지 협력 확대하기로…EU와 철강관세 논의(종합)&nbsp;&nbsp;뉴시스","Wed, 10 Jun 2026 09:48:34 GMT",https://news.google.com/rss/articles/CBMiYEFVX3lxTE9iMU5RUVpCd1ZHVHI3NWZybFFEVVEzWFdTR3o4WHFYMjlzQUlTUkoxb0ExT2VIWjBibHdUNkRCajVKc0JuVVJZbFhOdmVFMWxvZzhCMm1NQzlHNUZqYWFpMtIBeEFVX3lxTE41cDJwSXJKR1ZWMmtjLU1jc3RTRnlldWd5dkpnUWo5cVp5dTJEckRPNmJIOWM2SlNMRWg4Z3ZJc3FtN0JWQTJRODAwWWpvcTFiQWU0SFlZM2tWLXRoaTRzZ2ZNWjNqVm5ZMGJnRDBHSFQ3X2V2U0hJdg?oc=5,하,,5,
관세,"부산본부세관, 관세행정 법적 판단 능력 향상…전문가 초청 특강 - 네이트","부산본부세관, 관세행정 법적 판단 능력 향상…전문가 초청 특강&nbsp;&nbsp;네이트","Wed, 10 Jun 2026 01:03:00 GMT",https://news.google.com/rss/articles/CBMiU0FVX3lxTFA1T2x3bXJzT1JnZy1iWHhmT0NVelpuQXBQR1g4WTRRaVZrQllmamdZbktJb3hETEkzakVLek9pbWdOMTBNZ2RtbkdxYTBUdTVQUkVn?oc=5,하,,5,
관세,"부산세관, 법조·관세 분야 전문가 초청 '특강' - gukjenews.com","부산세관, 법조·관세 분야 전문가 초청 '특강'&nbsp;&nbsp;gukjenews.com","Wed, 10 Jun 2026 06:02:31 GMT",https://news.google.com/rss/articles/CBMibkFVX3lxTE91UFI3QkVoZmdEZEUwa2l2YlJENGtrWlNyTnhOUjBMU3E1V2dBYW5KX194TE1JY2dNeXRvMElZNzhLbzFKSWdzRzlQYW01YW02S0dyUUx3SUp4Z05QVkhPd2lJekotbXNLYmNGTnN3?oc=5,하,,5,
관세,지역별 첨단전략산업 밀착 지원…관세청 '원스톱 지원팀' 가동 - 연합뉴스,지역별 첨단전략산업 밀착 지원…관세청 '원스톱 지원팀' 가동&nbsp;&nbsp;연합뉴스,"Wed, 10 Jun 2026 06:00:01 GMT",https://news.google.com/rss/articles/CBMiW0FVX3lxTE15YTN4M3YtaE1LR0NzT3RWTHZxaU9CRnU2cEVLdXNHdTI1VGdrX0JDOXduVmQzTTNxNW93bm1MME4zNjhZeHpaQjV0TlM2RGM0SnJvZXlUUTNQMm_SAWBBVV95cUxPV2dPeHZ6eFZ5UndicG9nRlM2eVBWVG9kaE5zemlndHMyNnJHNnhUMTA3ZnhMLW5pcC15MXctdFppekZfeURoUEFLMllkWWlubDgzWXgyb3QwUGJSNWo0VmY?oc=5,하,,5,
관세,"관세청, 첨단전략산업 수출 지원 '원스톱 관세행정팀' 본격 가동 - v.daum.net","관세청, 첨단전략산업 수출 지원 '원스톱 관세행정팀' 본격 가동&nbsp;&nbsp;v.daum.net","Wed, 10 Jun 2026 08:18:00 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTE1xeE5ldmZsT0otdmI2Y2xtVXRJelpRRzdwdTI2bkFnckdfMElnejR1MHBCTVZqS1JyMUs5T2RKck9vcUlBcnZEdjk5aXNVcWc?oc=5,하,,5,
관세,"관세청, ‘원스톱 관세행정 지원팀’ 신설…지역별 첨단전략산업 지원 - 데일리안","관세청, ‘원스톱 관세행정 지원팀’ 신설…지역별 첨단전략산업 지원&nbsp;&nbsp;데일리안","Wed, 10 Jun 2026 06:00:00 GMT",https://news.google.com/rss/articles/CBMiV0FVX3lxTFBsUHh2ZU5pMndxQVE3UkdDeDVuX29wak9HSklJOG5NaENVVE42R29zWUQxUjlPMjFlcnU4WHNPNmp2R2F2UHJ1SVRiY1pSNXZBeC0zVWhud9IBpgJBVV95cUxNR3dqU1R5UUI2OFk5NUtLcHFyVS1hZGJmeXFDbUxTeDd6NjExRWxIM0xFbWdoeVRwVUs3OVhGV2kzRUFjWDdWSGgwdUVCcVRoeHV0LTJEbDJnSksyTnV0Z3IxX201ZWNYSHRQNlh5ejhqVVY4WTVUZEMyUGVDQUtBUHl1MHJybVV5dVM0ZFo0UXc4TjJzSFh1M2RmaWZNa0xSLTB2U1BwV2t4bDdpUV9rLWs3dmthcjZRZm9DRzVSUHFCYmJoN0pvczF6bWEwZ3J1bkhUUDUwSjJJWWpjWTVVdWVzRlBBM3RKbzItM3BtVnp2MWUxWVFwRU1TTkVBUWp2OUdCWGhnc2RpaHd0SjRwRzVLZEdvejNqZDRmWWFGNWJZM0lILUE?oc=5,하,,5,
관세,"“가격 올리고 고인치 키우고”···금호타이어, EU 관세 장벽 넘는다 - 시사저널e","“가격 올리고 고인치 키우고”···금호타이어, EU 관세 장벽 넘는다&nbsp;&nbsp;시사저널e","Wed, 10 Jun 2026 02:10:08 GMT",https://news.google.com/rss/articles/CBMickFVX3lxTFBJNy14TnY2T2xDY3JIZVI4a21UbFNtT0R6OG9EaVVGNG4wVThpM01saXpBY2ZLbzBCWVlpY0dYODdhYnRPdU5VMGhOeVRMZGRrWGt5eXoxUkJ0dUN0MUZkSFRDU0tUS01JQzl3cEZZWTZVd9IBdkFVX3lxTFAxN0N2LVhLQmJQekF4eEJuemxIWDdPTEFCMnFQb3pIX0J5amNHTmhrdC1DRmV5WnBLS2JGbTZodmw3NlRzeHlLUmJrXzFETUduRjRxS3AxOF8wYkNlT2xHa09EVmtxSUxaR1VmX0d5ZmlYVlNDbFE?oc=5,하,,5,
관세,"미, 5월에 관세 220억 달러 환급...4월 대비 11배가량 급증 - 글로벌이코노믹","미, 5월에 관세 220억 달러 환급...4월 대비 11배가량 급증&nbsp;&nbsp;글로벌이코노믹","Wed, 10 Jun 2026 21:58:29 GMT",https://news.google.com/rss/articles/CBMiiAFBVV95cUxPb1dvWFRXUHZwd1NBa0xkaWZfWTlaa1lhMy1GQk9hYzJ3T1NDSnF2Q3VwWXpydjNnbFFrckJ4bllyYjFMNDg4QjRrUnd5dUpONk9YeHgxa0kxTktuLWJ0amEyYkJraXU4QjRnelBzU0VFNm14VjltNUFuNW8yUXlfUndMUk9nVVh2?oc=5,하,,5,
관세,"관세청, ‘미래 첨단전략산업 원스톱 관세행정 지원팀’ 신설 - 물류신문","관세청, ‘미래 첨단전략산업 원스톱 관세행정 지원팀’ 신설&nbsp;&nbsp;물류신문","Wed, 10 Jun 2026 15:04:02 GMT",https://news.google.com/rss/articles/CBMia0FVX3lxTFAtTVlNMmN4bm9TZ096N3h0THgzcjM5bFRHNktNMWdWY0x6MDlZX0NGTGtpb2lFZlJPUXRyZE41cXpSZ1JzdDhqVEVzaFU1N2JjUVc4T1BGbXdxX2JwYmtLVHFidmxfazNQVkQ4?oc=5,하,,5,
관세,"美, 5월 관세 220억달러 환급…트럼프 관세수입 효과 '상쇄' - 이데일리","美, 5월 관세 220억달러 환급…트럼프 관세수입 효과 '상쇄'&nbsp;&nbsp;이데일리","Wed, 10 Jun 2026 18:47:19 GMT",https://news.google.com/rss/articles/CBMigAFBVV95cUxPT3R6OHY3aEJncjRYYVpuZUJLRm92MWsxNDVYcGROWXRXRUJ3cEY0SHNhYUhEWGhPaVZZREl1RnpTNS1RUm40LWRxNExVN0xPekpPUWtkZU5KVGxzOWhKZjJNaUVaZ2kzVzQxTWotY2p5dk56VFpZek9UdjNsMEktTg?oc=5,하,,5,
관세,"미 연방 무역법원, 트럼프 행정부에 ""불법 관세 신속 환급 촉구"" - JTBC","미 연방 무역법원, 트럼프 행정부에 ""불법 관세 신속 환급 촉구""&nbsp;&nbsp;JTBC","Wed, 10 Jun 2026 07:01:00 GMT",https://news.google.com/rss/articles/CBMiVEFVX3lxTE41OWdyU3FhcEdPa0JEQmNmaGpIQUhoaDF1Mm15OTk5bHU3NC1welF4Z294WjRXMzhaX0FhdEczNG9PVGxqV1p6RnVRVE12TE1pMGplUQ?oc=5,하,,5,
관세,미래 전략산업 밀착 지원할 원스톱 관세행정 지원팀 가동한다 - 한국세정신문,미래 전략산업 밀착 지원할 원스톱 관세행정 지원팀 가동한다&nbsp;&nbsp;한국세정신문,"Wed, 10 Jun 2026 07:41:57 GMT",https://news.google.com/rss/articles/CBMiZEFVX3lxTFBYSl8wWDZkZE9iNEtDaU9MMmFLNnhkMi1RdnpwSmxUa0ZBd1pua3NLSGJBdjJ5X1VsM0tzVjdLTFZDVlZYV1VIanhWaDJZVXhJUVFVMG1sOE9vN21abGJXR2xLbmQ?oc=5,하,,6,
관세,"트럼프, 韓기업 돈 수천억원 ‘꿀꺽’?…“관세 안 돌려줘” 배짱 통하는 이유 [핫이슈] - 나우뉴스","트럼프, 韓기업 돈 수천억원 ‘꿀꺽’?…“관세 안 돌려줘” 배짱 통하는 이유 [핫이슈]&nbsp;&nbsp;나우뉴스","Wed, 10 Jun 2026 08:50:00 GMT",https://news.google.com/rss/articles/CBMicEFVX3lxTE9ILXFaMXNOVWQyNVRVZGZORWZobGloemlXR3pNRDFtWXk1SEgzWGRGUWJLUXFpYkdhTlRHWURrS1NkWGprSTdoX0NnZ0EwekFpSUtKUHVfcU52R0tpNlBzSWU1SVktUnBVSEZRelpMUjY?oc=5,하,,5,
관세,"""관세 못 돌려줘""…환급 버티기 나선 트럼프 행정부 - 아시아경제","""관세 못 돌려줘""…환급 버티기 나선 트럼프 행정부&nbsp;&nbsp;아시아경제","Wed, 10 Jun 2026 05:06:24 GMT",https://news.google.com/rss/articles/CBMiYEFVX3lxTFBSYjlydGZ4MkRGU19DWmJiT3gxOUR6dG5Hd3YtdFNYaTUycEdORW9ZNVNISzliMlhFZGViTGFxYVJjOFNlM1JYZ2JKUTVBdGpDZ2Y1SnhqRVY0MUo3ZGx4SA?oc=5,하,,5,
관세,"LG엔솔, 미국 관세 환급 절차 밟아… 환급금 1000억 원 예상 - 주간동아","LG엔솔, 미국 관세 환급 절차 밟아… 환급금 1000억 원 예상&nbsp;&nbsp;주간동아","Wed, 10 Jun 2026 22:00:02 GMT",https://news.google.com/rss/articles/CBMiZEFVX3lxTE96cDY3Ukp0R2VuM0FFWTh3bjFIS0xoeTUtYVJVUDQ1X1pScWhXOXdpVk9WcGtmZXpna3J0dVdWNWFtdkRzbUItbmpYRHpSaHozOHRpRzBwY09jUmp5djBwVHAxaU0?oc=5,하,,5,
관세,"“같이 경쟁하는데 왜 더 내나”…멕시코, 美 자동차 관세에 불만 - 문화일보","“같이 경쟁하는데 왜 더 내나”…멕시코, 美 자동차 관세에 불만&nbsp;&nbsp;문화일보","Wed, 10 Jun 2026 03:47:06 GMT",https://news.google.com/rss/articles/CBMiUEFVX3lxTE0yZE1sRWx2RlV1Y0RFY0dCdFNURkVrSU5OTlRSQTJLWEd2WmxwNndmaUtvNXJOTGNqaGRpS1FoTkt4OC1pS0huMWRhSXFBWDFK?oc=5,하,,6,
관세,미 정부 “소송한 기업만 관세 돌려주겠다”···중소기업 소송 비용 부담 노린 듯 - 경향신문,미 정부 “소송한 기업만 관세 돌려주겠다”···중소기업 소송 비용 부담 노린 듯&nbsp;&nbsp;경향신문,"Wed, 10 Jun 2026 02:17:00 GMT",https://news.google.com/rss/articles/CBMiWkFVX3lxTE5YVDhPSE1zaHJOT2R6WXJIbTQzMXBHTnNlNFJCUFpIX2JVSTRxUWRsSUktTTkxZzR3RW84QlpyQjlMMGVOZG5VUlBYYUhKekIySmd0OEtYMTRDZ9IBX0FVX3lxTE5fay1uSm03MXNMVkZUT21yWWZSTW1mSGJTVlNHUnJMR014OGU2Q2dqY2g3anJMR1BGWHpOTTlXTzlnUDJiSW1XaVhXS0RNb2RycUhidEtWMGZPN0ZzeEdN?oc=5,하,,5,
