제시어,헤드라인,주요내용,발표일,출처(URL),중요도,대상 국가,점수,비고
관세,트럼프 관세에 흔들린 현대차·기아…1분기 1.6조원 부담 - v.daum.net,"트럼프 관세에 흔들린 현대차·기아…1분기 1.6조원 부담&nbsp;&nbsp;v.daum.net현대차, 매출 늘고 이익 줄어…관세 직격탄에 수익성 악화&nbsp;&nbsp;지디넷코리아현대차·기아 1분기 최대 매출에도 '관세·환율' 파고 힘겨운 싸움&nbsp;&nbsp;v.daum.net","Fri, 24 Apr 2026 07:40:13 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTE5qQmZnVlBUWERiOU9pMDMwOEliY3BwbmdBSGVkeEl2VWRVdEVLQjBTWlQ3c090NzV6M1hlR3RuUWt0NF9QcWFRRzdaQ3kzSkU?oc=5,하,,5,
관세,"美 ""28,29일 '강제노동 제품 수입' 공청회""…새 관세 부과 수순 - 연합뉴스","美 ""28,29일 '강제노동 제품 수입' 공청회""…새 관세 부과 수순&nbsp;&nbsp;연합뉴스","Fri, 24 Apr 2026 20:42:00 GMT",https://news.google.com/rss/articles/CBMiW0FVX3lxTE9ZTzJzcW5NT0Ffck8zUDdyR3lmemhhM3ZYWXNhQjQ1eFJQV1lhc2drVGJHSEswNU9maUJfQlN5Z2x1bUdMdEl4VkJiNGh1RW1sQ2dWVEZodjNMNjjSAWBBVV95cUxORklFb1I4MEZXaTRiZ043d19wcmVCRHc5UEVTejlNR3AwVWt6cFFWcGtGQnRUS1NGMU9LUjdvbTNZeFNtaWZKSlpVQXZkekpiNWNSMmNHa19BYzJLdC0zU1k?oc=5,하,,5,
관세,"미 ""28,29일 '강제노동 제품 수입' 공청회""‥새 관세 부과 수순 - MBC 뉴스","미 ""28,29일 '강제노동 제품 수입' 공청회""‥새 관세 부과 수순&nbsp;&nbsp;MBC 뉴스","Fri, 24 Apr 2026 21:30:44 GMT",https://news.google.com/rss/articles/CBMidEFVX3lxTFB5STZZbS1sWEhsTlBqZWJmeVJ0clFvRHdWcDRCRTYwLU9NMTc4VllvcGVLOEU5dnYxRzM2OW9rSTZKSUlIMmRtdWdxRXNLY1ZKNlRJZGhfOFU5YTZDZUlkMlpNVHQzUGwwYkJpY3p3SDFhMHVT0gF0QVVfeXFMTkhJUmlLOWJmRHZHV2JuZ0VSc1FnNUlFb1ZRSHdOUlVDdERMcTZZUnR5Nzd3eWExaWVuMDB1ejZwM0lWTk9LZE1oU1hpVkVLYWlfX0dnQ21YOUFLMEpMVzZJQmlkZWVoM0lfbFhSaTFrbUcwclU?oc=5,하,,5,
관세,"대미 관세 협상팀·마스가 팀, 2000만원씩 ‘특별 성과 포상금’ 받았다 - 경향신문","대미 관세 협상팀·마스가 팀, 2000만원씩 ‘특별 성과 포상금’ 받았다&nbsp;&nbsp;경향신문","Fri, 24 Apr 2026 05:42:00 GMT",https://news.google.com/rss/articles/CBMiWkFVX3lxTFBoZlR4Q29iSHRJcE9YcHNlSXIxNkdZbngyZE1VZHR4eElxLWgzWUhnRTF1SE14VHNSNDFFMmxaMDRrN0RfUFk3NTBoaVk2ckFrWGlvU3FDT2xad9IBX0FVX3lxTFBIWUdvTzZ5c0xNZ3VVd25QRUEwdndHdEZOU2hFS2NrQTVsSC1ENzFtYjV5SHk3SkJZcXNKNzRoWUlXR2ZUbFBScWNMMGJxMTJDQWhVenJnTUhRYUdwODgw?oc=5,하,,5,
관세,"산업부, 대미 관세협상 등 '진짜 성과' 낸 4개 팀에 6800만원 포상 - v.daum.net","산업부, 대미 관세협상 등 '진짜 성과' 낸 4개 팀에 6800만원 포상&nbsp;&nbsp;v.daum.net","Fri, 24 Apr 2026 07:19:00 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTE1FbDRpeVd0YndmTmVyTHgyS1FQSXN2S1RrU0VJZm5HZ1BNOFh5MmRGSUpWd0xwVU1NdzRLcjdqOWZvUGRreUw5OHdVYkxyN0U?oc=5,하,,5,
관세,美 관세협상·MASGA 활약한 공무원들 특별성과포상 4000만 원 받는다 - 뉴스1,美 관세협상·MASGA 활약한 공무원들 특별성과포상 4000만 원 받는다&nbsp;&nbsp;뉴스1,"Fri, 24 Apr 2026 05:30:00 GMT",https://news.google.com/rss/articles/CBMiVEFVX3lxTFB5SG9uX2NGYldoanc3NnZCMWx4cjktVHVBcVBNWnItakw1NjhhVzVUQXp2Z2VNb1FfV19ZY3h0VHphb0ltTzJBZXpTTVQ3M1Y1Vk1JOA?oc=5,하,,5,
관세,"기아, 1분기 영업익 2.2조원... 美 관세 여파로 27% 감소 - 조선일보","기아, 1분기 영업익 2.2조원... 美 관세 여파로 27% 감소&nbsp;&nbsp;조선일보기아 1분기 역대 최대 매출…관세 부담에 영업이익은 26.7% 하락&nbsp;&nbsp;동아일보기아, 1분기 역대 최대 매출에도 美관세 여파로 영업익 26% 급감&nbsp;&nbsp;지디넷코리아","Fri, 24 Apr 2026 05:12:49 GMT",https://news.google.com/rss/articles/CBMif0FVX3lxTE9SOXg2RUREZy1RY0NQMVhVYTFWakNaamVlczVneVphTDJTVW1oamZfR05zcXVLamw4ZzQydGFkYnpmSTBoSFEzM3IzYTlMWFVLa2h5QU94d1oxTVRHbFZRbUhpbDd4OEJmeDR6ak5TX2hjZk5QZHVNUF9pc1hvSUk?oc=5,하,,5,
관세,"한일 관세당국, 역내포괄적경제동반자협정(RCEP) 이행·전자상거래 물류 원활화 협력 - 서울Pn","한일 관세당국, 역내포괄적경제동반자협정(RCEP) 이행·전자상거래 물류 원활화 협력&nbsp;&nbsp;서울Pn","Fri, 24 Apr 2026 05:01:53 GMT",https://news.google.com/rss/articles/CBMiYkFVX3lxTE1PREFSaDVLRzZWQ3k3cXg3anpySTBrUGdvVXl5UUJXU1JYejczb1JzWTBUSUMwdTYzQkVrUEVHNGVTaUhiVFpMd001U2ZyOGc3bXdjQUJQc2VMYm5uNkJXVEpn?oc=5,하,,5,
관세,트럼프 '디지털세 유지' 영국에 대규모 관세 위협 - 연합뉴스,트럼프 '디지털세 유지' 영국에 대규모 관세 위협&nbsp;&nbsp;연합뉴스,"Fri, 24 Apr 2026 02:31:04 GMT",https://news.google.com/rss/articles/CBMiW0FVX3lxTE9WM1FMcURzaktScTdnZ3Y1V2NjYzR5OEN4d3hhb1NwaV9ZbS1qWlBuYUtxZkVqTDlnSDdmZElHOWFrVW5uRFVDaTNNY2hDd0NzcTNMRUhlUG1yNnfSAWBBVV95cUxQblhKUEh3N3dyQzVvaXFWODdfcE5KSVpJanpzS21RNjVOMF9MWUxhU0JmN3Y5a252MzRqNk45TlhNb1Yyek8ybEE5MmhlWEVROENFaTVsU1JzLXp3YVFlVVE?oc=5,하,,5,
관세,"트럼프, 英국왕 방문 앞두고 ""빅테크 과세 계속하면 관세 부과"" - v.daum.net","트럼프, 英국왕 방문 앞두고 ""빅테크 과세 계속하면 관세 부과""&nbsp;&nbsp;v.daum.net","Fri, 24 Apr 2026 02:05:46 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTE1yMVItdDY1bnNLUEU0QzQ2NXJFUm9fTFN5SHBnMlhQODlhcVp4RHBaVkZselBoRHd3LXJZb3AtRG1tNXBBblA4SUs1WDJKUEk?oc=5,하,,5,
관세,트럼프 '디지털세 유지' 영국에 대규모 관세 위협 - 네이트,트럼프 '디지털세 유지' 영국에 대규모 관세 위협&nbsp;&nbsp;네이트,"Fri, 24 Apr 2026 11:02:00 GMT",https://news.google.com/rss/articles/CBMiU0FVX3lxTE94UDhpVXNINXNSaVNsWTNTM183b0ljQ3dYVEpWMTFWS2NZZ0dwRXlnUkJkekRweEZhZXNTaS15Qmg5SjBzSmdFMVF4TnQtY29jRVNB?oc=5,하,,5,
관세,"한화큐셀, 美 상호관세 반환 소송…""취소 불능 피해 방지"" - 연합인포맥스","한화큐셀, 美 상호관세 반환 소송…""취소 불능 피해 방지""&nbsp;&nbsp;연합인포맥스","Fri, 24 Apr 2026 04:32:14 GMT",https://news.google.com/rss/articles/CBMicEFVX3lxTE5FTUkybVdUQm1NeXFkbTdpRmdHMC1zb2l1T2xTdGRUOGFpMXNyVHJtajRMYld0a2JxblVXcmJYUEY5TDhESDgtSkg0a2FhOUhROVVpVjRFYThBWGRSOXR0SGJ3YU01cUFjdHJaUVBiOG0?oc=5,하,,5,
