제시어,헤드라인,주요내용,발표일,출처(URL),중요도,대상 국가,점수,비고
관세,"트럼프 ""이란 다시 돌아올 것…中, 이란에 무기주면 50%관세"" - v.daum.net","트럼프 ""이란 다시 돌아올 것…中, 이란에 무기주면 50%관세""&nbsp;&nbsp;v.daum.net","Sun, 12 Apr 2026 16:20:36 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTE01LXJHNmpNcjJOQUxpMFZBNHdoaWVpXzJsYzNfV2J0VlhhcjVzOWhuc0ZSbGNMX19YLXZDQ3hjM1ozVHRuTWpETFhlM3o0OTA?oc=5,하,,5,
관세,"트럼프 ""하루 만에 끝낼 수 있어…이란 지원하면 50% 관세"" - JTBC","트럼프 ""하루 만에 끝낼 수 있어…이란 지원하면 50% 관세""&nbsp;&nbsp;JTBC","Sun, 12 Apr 2026 22:46:00 GMT",https://news.google.com/rss/articles/CBMiVEFVX3lxTE16UkpFOG51TVdMcmVHdzd2NnlJbmtQbDdZcG9oNmNVdWtjcTJrUURHdDRfWTFHR3A1Rk9WZUxmQURuZlR1WTIzakczeGtobkRnb2JlVw?oc=5,하,,5,
관세,"트럼프 ""中, 이란에 무기 제공 시 50% 관세 부과"" - 블루밍비트","트럼프 ""中, 이란에 무기 제공 시 50% 관세 부과""&nbsp;&nbsp;블루밍비트","Sun, 12 Apr 2026 22:14:54 GMT",https://news.google.com/rss/articles/CBMiUEFVX3lxTE9Zc3YzOEpLUG9zZUliZmlUT2dGRnhWM3FZU3BvSGpRRGJTcGNOV0xvaUppQjhDcUx2TU8xSFE2VC0xLW9XY2RtNEVibWw1X0dQ?oc=5,하,,5,
관세,"주간 경제 뉴스: 트럼프 관세로 인한 인플레이션, 다이먼의 부채 위기 경고 등 - Benzinga","주간 경제 뉴스: 트럼프 관세로 인한 인플레이션, 다이먼의 부채 위기 경고 등&nbsp;&nbsp;Benzinga","Sun, 12 Apr 2026 23:33:27 GMT",https://news.google.com/rss/articles/CBMi2gJBVV95cUxOdDJ2YlBYeWF4Q2cwQnZVTzBHa0VCYzRZV3Z3R2tZWGhkUXFvUjFiNWVDOEV6V3phQ0ZhT0Vpbl9EbGdLamJQVUxiNFZ3M2drajRRdjlKb3NZSXk5MTFvYkhsckZKNWI1bzl0UXJRUTJHaEVrTldLUGFHOXNNbmhsb0F4SU5Md3ZsbWhsSWRyZTJQa0syZGpSb2FVcGRFdEtMSk5yeUZYb1FLVDZZNEV1RjVlVXpYemNUUG15RlFXU3Y2djliZkp4d2hHRnVrMkd2M3hMb3lVai1Kd3M0dllJemllZFh3UEgyMDhCQ2JORXRTeGw2dkxNaDJXU29qX01TTERnYUdZcnJacGtqcUlYT2FaMzE3OUZZT3ZWSXo1MUtHQS1nbEFpZ0c1cHVXRFEwbUJ1ajBxa3FRLVVBakxzRERpdmhZYWpncWFyMVBod3dHVm9ON1lMbXRn?oc=5,하,,5,
관세,"트럼프, ‘대중 50% 관세’ 카드 꺼내들었다…이란 지원 시 강력 제재 경고 - 비즈월드","트럼프, ‘대중 50% 관세’ 카드 꺼내들었다…이란 지원 시 강력 제재 경고&nbsp;&nbsp;비즈월드","Sun, 12 Apr 2026 23:34:07 GMT",https://news.google.com/rss/articles/CBMiakFVX3lxTE40bFhGS1hxeXZvTmlNMWxybFhNTWJncTkxRkhrS0FxcGV6WWRzQUhJWUZiVkcxaUZoVW45bWVZNlhrbkpzZ3JNRUdUN0FYMF9QYW00WmxwcDhzSnFmOWx2cTMzaXc4R3NzMEE?oc=5,하,,5,
관세,"트럼프 ""호르무즈 봉쇄 시간 조금 걸릴 것…이란에 무기 공급시 50% 관세"" - 연합인포맥스","트럼프 ""호르무즈 봉쇄 시간 조금 걸릴 것…이란에 무기 공급시 50% 관세""&nbsp;&nbsp;연합인포맥스","Sun, 12 Apr 2026 18:16:52 GMT",https://news.google.com/rss/articles/CBMicEFVX3lxTE8yVjJpc0c5dEZxRm1XT20tdUNBdDFYSWR4UmZheHJ0ejA0TmFiSG1XZUtxOC0yQXIzMlpsMFpQLWl3MjkxY1ZsRm5lN2RudEZvTUZHX2VENlg0MHBvbV9WQUFUTmdBbUN2UzBHaHFBV1I?oc=5,하,,5,
관세,"트럼프 ""중국, 이란 군사 지원시 50% 관세""…호르무즈 봉쇄 압박 - 뉴스1","트럼프 ""중국, 이란 군사 지원시 50% 관세""…호르무즈 봉쇄 압박&nbsp;&nbsp;뉴스1","Sun, 12 Apr 2026 18:59:03 GMT",https://news.google.com/rss/articles/CBMiWEFVX3lxTE9URGZMUG53YklDQVJiZ0lvN1RXRTVsOUx0NUY5LVdQUEg5SkMzMHE0a0xveWRWSmdOTDlIc1dOY1hObnlqczdtNHAyUE1VSjJGUXlsOEpLR1Y?oc=5,하,,6,
관세,"트럼프 ""中 이란 지원시 50% 관세…韓·日 도움 없어"" - 네이트","트럼프 ""中 이란 지원시 50% 관세…韓·日 도움 없어""&nbsp;&nbsp;네이트","Sun, 12 Apr 2026 22:50:00 GMT",https://news.google.com/rss/articles/CBMiU0FVX3lxTFAwRjNDeUd2VjlNWW44UVlfZzlfNTA2VnlVbFJOekJ3SU5vbW1MZ1RHUGtKcGtrUlNKRlR4TkNUM0l6b0VDYnlSdEhKNTNxcl90SXU0?oc=5,하,,5,
관세,"트럼프 “이란, 결국 굴복하고 협상 복귀할 것… 中 이란에 무기주면 50%관세” - v.daum.net","트럼프 “이란, 결국 굴복하고 협상 복귀할 것… 中 이란에 무기주면 50%관세”&nbsp;&nbsp;v.daum.net","Sun, 12 Apr 2026 18:05:26 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTE5yeWJWbnR1RHB0bkdBcUotcnBWdzVQSXJkeGstY3BLMVcxeWdfMlYxS1Uxd0dUNG53b1RrMkhtc3FRd3RMSnVQdjlodUIzeXM?oc=5,하,,5,
관세,"트럼프 ""中 이란 지원시 50% 관세...韓·日 도움 없어"" - 한국일보","트럼프 ""中 이란 지원시 50% 관세...韓·日 도움 없어""&nbsp;&nbsp;한국일보","Sun, 12 Apr 2026 22:49:00 GMT",https://news.google.com/rss/articles/CBMid0FVX3lxTFBYaEg3VW40Q1VseWFkSWphd0NpTFFPeENTNEh5NC1Rci1ET1RMTHo0c3hUT3BmX1FLU2psMzJqZlBhTENZcGd3enk4bzQ2SVJwRHJXeWFkTmRCeXVXVTEwZXU2WlZQd2dqb1EyU3pSQ2NacWFKVjZv0gFzQVVfeXFMTVJZY1ZJU01YeTNYVFBXNGNpN3IxS0VXX042Yk5TUlhxWXFneThSaHQ2S0o5M215OEpfb1l5NFlQclZDalJwZVoyU2wxdG0zX0xZRk44YThyVkZHdmRBcnRjNXgtS1ZYUWlkY1dlc1FUWmFEMA?oc=5,하,,6,
FTA,"한우협회, FTA 피해보전직불금 지원액 현실화 추진 - 농수축산신문","한우협회, FTA 피해보전직불금 지원액 현실화 추진&nbsp;&nbsp;농수축산신문","Sun, 12 Apr 2026 22:00:00 GMT",https://news.google.com/rss/articles/CBMibEFVX3lxTE9zd0tCV3puOTRBQ2NTMUFrS2ZBZEtpUEo3Y3RrZkVEbWdaWGRZckc5Vk00ZTRzb0twR0dYRTI1WnJyaTZ3VWhWT0hRUEVrX3BnQ3JWZ2g4R3pFVndjTGVOb1FwWFliSExLbEk3UQ?oc=5,하,,4,
원산지,"용인특례시, 경로당 대상 식품 원산지 식별 ‘밥상 위의 진짜 이야기, 원산지를 보다’ 교육 - 매일일보","용인특례시, 경로당 대상 식품 원산지 식별 ‘밥상 위의 진짜 이야기, 원산지를 보다’ 교육&nbsp;&nbsp;매일일보","Sun, 12 Apr 2026 23:24:04 GMT",https://news.google.com/rss/articles/CBMiZEFVX3lxTE5kZHFIcE0zbDlFUGFYRTJfNGc0TGhmZDZaSUZhak9sWG5BeUE3SWFjcFh6bncybVRhWWhPWkZGdUpFRDcteE5WN3ZQd2IyYkVfWVRjRGxBNUVDVU92RzZ5ZnEzcEE?oc=5,하,,4,
원산지,"용인특례시, 고령층 대상 ‘원산지 교육’ 본격 운영…식품 안전 인식 높인다 - 월드장애인사랑뉴스","용인특례시, 고령층 대상 ‘원산지 교육’ 본격 운영…식품 안전 인식 높인다&nbsp;&nbsp;월드장애인사랑뉴스","Sun, 12 Apr 2026 21:45:33 GMT",https://news.google.com/rss/articles/CBMib0FVX3lxTE92X0wyVm9ja0ctM3RoODlJYm9lLTlTc0otcmxMLXdTcXZNbnBzWFA1dklGNFVDb3JZM05XSXJqeXFHaVkzNnBlaHI2dXRiaXRtSzlpb2licUxnTDBfX1ZBZ3h2OV9GNjVoLUw1bzNXZw?oc=5,하,,4,
원산지,한-방글라데시 CEPA 3차 공식협상 개최…상품 양허·서비스·원산지 논의 - 뉴스1,한-방글라데시 CEPA 3차 공식협상 개최…상품 양허·서비스·원산지 논의&nbsp;&nbsp;뉴스1,"Sun, 12 Apr 2026 02:00:00 GMT",https://news.google.com/rss/articles/CBMiX0FVX3lxTE5mQThOY0tNOGFBSXVUaHAwRWM1VXFMT3AwaHV3Q0ZXWUxqQXFZblRmOTBzd0g3eDRaajg4MDFyM1JNNE1RUnRDNGRJWVZZOFJtb2RkYjhRb0lZTG5naGp3?oc=5,하,,4,
