제시어,헤드라인,주요내용,발표일,출처(URL),중요도,대상 국가,점수,비고
관세,트럼프 “관세 논의 안 했다” vs 중국 “관세 인하 원칙 합의” - 서울경제,트럼프 “관세 논의 안 했다” vs 중국 “관세 인하 원칙 합의”&nbsp;&nbsp;서울경제,"Sun, 17 May 2026 21:47:43 GMT",https://news.google.com/rss/articles/CBMiUkFVX3lxTFBXNkZuTUpxTEM0Vlh1WmNNbmZnUExROVk5VVUzZ2E0RWh5Um9UYlZxTmlyZEtiakhmdVhFWHZpQ3BzZlh6WDcxdFM0NElzTGhRaUHSAVNBVV95cUxOdVllRmRRMGNRSmtBTVRXajNkY1gwVFliOU1RdG53NUZEVXZua0hhbjBjN2I5UjFxUF9ST2tTcWRrMTNhNlhqWl9tTUVUczljbW9xSQ?oc=5,하,,6,
관세,"“중국 공급과잉 조사 끝나면 행동”…美, 추가 관세 카드 다시 만지작 - 마켓인","“중국 공급과잉 조사 끝나면 행동”…美, 추가 관세 카드 다시 만지작&nbsp;&nbsp;마켓인","Sun, 17 May 2026 16:10:36 GMT",https://news.google.com/rss/articles/CBMic0FVX3lxTE1oOXl3UG54NG1ReDRjeVNPakRod1EtUHROT3JCbzB5UDhPT08yTlJ1SjQzZ1FxQUFqWlBaR2RUWV9RaDBIMGY0RzgybmpmMGl4OXhkRGpDX2VaMUdCZTRQZzZiQTJZaDdGckpWT20zZHlTdG8?oc=5,하,,6,
관세,"한미 정상 통화, 관세 합의 이행 재확인…“동맹 새롭게 업그레이드한 것” - 서울신문","한미 정상 통화, 관세 합의 이행 재확인…“동맹 새롭게 업그레이드한 것”&nbsp;&nbsp;서울신문","Sun, 17 May 2026 13:51:02 GMT",https://news.google.com/rss/articles/CBMicEFVX3lxTE9tcUlKTkdBdWk0M2F1Rm9PcHhOMGZiSGdkSklmRE00TXRXLVRjakJFRUtyM3Znd3NrNURDMEJJREJGemJEX0RlRWxJTkdBV3QweFRUYUp5ZzdvZFNNUUhNYmItT3g3VDYwTGp2MWdLZjk?oc=5,하,,5,
관세,"“비싸게 산 소비자도 돌려받아야” 토요타, 美 ‘관세 환급금 분할’ 소송 피소 - 글로벌이코노믹","“비싸게 산 소비자도 돌려받아야” 토요타, 美 ‘관세 환급금 분할’ 소송 피소&nbsp;&nbsp;글로벌이코노믹","Sun, 17 May 2026 20:50:00 GMT",https://news.google.com/rss/articles/CBMiiAFBVV95cUxPenVnLU9EMTlxcklRdnJjZXV4R3h4QnNsaUh2YzJaT0dmZnhFbkUyalRGTWlXdzJZa1ZQejlWYTNhQjg1eVI1UEptczdNSTM2WllhWUhmMUJSRjN5bWZ4OUg1QmQzZzFqWlpJYWxOMGdsVEZTcTJYSlhXR1dtLU03M0FPTlRwQ29V?oc=5,하,,5,
관세,"인도, 금·은 수입 관세 인상…타이탄의 영향은? - Investing.com 한국어","인도, 금·은 수입 관세 인상…타이탄의 영향은?&nbsp;&nbsp;Investing.com 한국어","Sun, 17 May 2026 13:57:00 GMT",https://news.google.com/rss/articles/CBMicEFVX3lxTE5sOVd0TVNBU3ZtbkktZjZfRjZ6VzEtVFhXanp0RjQyOHhkS05rMlBoQkRtMkNXSk1oek9yUlNIcVk5THRVS2lFS2xYMHBmOElSX2lYUWtUUUFFUGR1eGR6a1YwXzUzU2U0RjZqM2w3OEs?oc=5,중,,7,
관세,친교 과시했지만… 대만·이란전·관세 ‘빅딜’은 없었다 - 세계일보,친교 과시했지만… 대만·이란전·관세 ‘빅딜’은 없었다&nbsp;&nbsp;세계일보,"Sun, 17 May 2026 11:08:14 GMT",https://news.google.com/rss/articles/CBMiWEFVX3lxTE1kSVR1ME5NTWIwcXV5U1dDbkNKc3F2ZTNMVkRNSENqVGFlSUxZcGhGMDFWYzl4aDlsME42YW5KOWFQSTN4WVFqTkE0X0tPOUlTT0VSYmo1QkzSAVRBVV95cUxNQ1FFUXJobnFZajlhdDR6NHozMjBZaVpfZDRtVDZSOE9MeGFTdXFvOE5vdUtUQUc3TUV1N0hid0QzQ0ExUExuUmxFcHNrU3d4cDRwS3Q?oc=5,하,,5,
관세,30분 통화한 한미 정상…방중 결과 공유·관세협상 후속 논의 - v.daum.net,30분 통화한 한미 정상…방중 결과 공유·관세협상 후속 논의&nbsp;&nbsp;v.daum.net,"Sun, 17 May 2026 21:12:16 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTE8xYVhxbUhENDBRM2dqWVI5d0tCMkpacmdiRnhEa0ZDMWx6Qm54VTZyN09kVE5EbVd6blNfTTBzSjM0V3NvODQzRG5YOU9qczQ?oc=5,하,,5,
관세,"“중국 공급과잉 조사 끝나면 행동”…美, 추가 관세 카드 다시 만지작 - 이데일리","“중국 공급과잉 조사 끝나면 행동”…美, 추가 관세 카드 다시 만지작&nbsp;&nbsp;이데일리","Sun, 17 May 2026 16:10:36 GMT",https://news.google.com/rss/articles/CBMigAFBVV95cUxObVN3ejViRHNMZDI5aUVuZndPdHFwcE5DZEpPaFVqV2Nfb2g2UzZISDBuYU9STUd1NzlkbUQ5U1pGZnFUbWVvZEJ3RG9fV3FSU1hDZUlnaHN6dk91VENqcEI0VWNIZjBHRk9SLWQ5a0o4ZHlTNFNva3YwN2VOVk1jaQ?oc=5,하,,6,
관세,"미·중 정상회담 합의 공개…중국 ""일부 품목 상호 관세 인하"" By 알파경제 alphabiz - Investing.com 한국어","미·중 정상회담 합의 공개…중국 ""일부 품목 상호 관세 인하"" By 알파경제 alphabiz&nbsp;&nbsp;Investing.com 한국어","Sun, 17 May 2026 23:19:00 GMT",https://news.google.com/rss/articles/CBMicEFVX3lxTE13VmE3QVM5Yk55Um9RMDdTWlRFX3lIdHA3UXlGek9XR1RYZG5sYXlkZXBPc2ZLejlQdmh5SExpVl81OFlKdFhyRFlSVkZQaXRfd0NpWDN3Q0RVR2VlMGo4MnRHeGdtRkVrQmh0WGFiWi0?oc=5,중,,7,
관세,"아마존(AMZN.O), 관세 환급 미신청으로 피소…트럼프 관세 위법 판결 후폭풍 - 네이트","아마존(AMZN.O), 관세 환급 미신청으로 피소…트럼프 관세 위법 판결 후폭풍&nbsp;&nbsp;네이트","Sun, 17 May 2026 22:50:00 GMT",https://news.google.com/rss/articles/CBMiU0FVX3lxTE0wN3J4eW1OTTZjSk9LUHBWcmNLSTdrUXNIdkZINnFqdHhRY0xYU0lmX2t4cVdYemNrdHNYNUh3eVVmR2dqTHZnUG0yNGNMSk5WR01B?oc=5,하,,5,
관세,"中 ""美와 관세인하 합의""…""빈손 방문"" 평가 - 연합뉴스","中 ""美와 관세인하 합의""…""빈손 방문"" 평가&nbsp;&nbsp;연합뉴스","Sun, 17 May 2026 01:27:30 GMT",https://news.google.com/rss/articles/CBMiYEFVX3lxTE5vcU11TmN3cFEyc2gySy1GcGo3NmwyZ0VpSloxOU13Nks2OHJNNjk2ZGVqMjJRMGtYSzk0Q2E5cFJVRUdQTTV0elVFeFRycDhHMkVQSncweUFtOUJsMk9YedIBYEFVX3lxTE5vcU11TmN3cFEyc2gySy1GcGo3NmwyZ0VpSloxOU13Nks2OHJNNjk2ZGVqMjJRMGtYSzk0Q2E5cFJVRUdQTTV0elVFeFRycDhHMkVQSncweUFtOUJsMk9YeQ?oc=5,하,,5,
관세,"中 ""관세 인하 잠정 합의""… 미중 무역 휴전 연장 가닥 - 매일신문","中 ""관세 인하 잠정 합의""… 미중 무역 휴전 연장 가닥&nbsp;&nbsp;매일신문","Sun, 17 May 2026 10:20:39 GMT",https://news.google.com/rss/articles/CBMiYkFVX3lxTE5PTEZKeUE2a0J6aTFGQzcya3dua0tZaGxFU2hUeUotbFYzUVV2ckdVakpzTldkSXQ4WmxRcWcteHVjNUg0MGxSSXV3eFhyWXJtOF8yb0h1Q1F2aDZhZTdPNFN3?oc=5,하,,5,
관세,"중국 “미국과 동등 규모로 관세 인하 합의”…트럼프, 방중 성과 강조 - KBS 뉴스","중국 “미국과 동등 규모로 관세 인하 합의”…트럼프, 방중 성과 강조&nbsp;&nbsp;KBS 뉴스","Sun, 17 May 2026 08:02:00 GMT",https://news.google.com/rss/articles/CBMiW0FVX3lxTFA0WDBjREUxYzJ5dDVXRXFEbHdFRkVnVE1NTDFoekxxeWVqMC1ERDc2R0tscWVmTGhUY0lKQnU5Sm8zSC1HTWhWRXU3eC1JT0o3ODZCN3g4eWJWNG8?oc=5,하,,6,
