제시어,헤드라인,주요내용,발표일,출처(URL),중요도,대상 국가,점수,비고
관세,"""韓中 강제노동 관세 어떻게 같나"" 지적에 美무역대표 직접 반박 - 머니투데이 - 머니투데이","""韓中 강제노동 관세 어떻게 같나"" 지적에 美무역대표 직접 반박 - 머니투데이&nbsp;&nbsp;머니투데이","Fri, 12 Jun 2026 00:59:09 GMT",https://news.google.com/rss/articles/CBMiaEFVX3lxTE9wZzJnaGZsYXVldlQ0UmlDcXFOUVg2Z08zVlJ4bE5iRHk2dEd3emZqQ2huYUt1SmlUMmxheGZKQVNoQU5FeXZxT3ZDQ3FWdUNYdmt1eDFqZ3drMjR3QjlUNUhxM0xEUzBV0gFuQVVfeXFMTmR6RXpESUYzcjZXbld6WWtqdzc2RUlBbVpJakFmTUZONHUwblZnQlpXTEJveWlVS2xCS2VwMGRiVVZxN2lzWFdoVzlWM0p1QjNZZUxsNkVDTF8yRkk2d1lGZ0lxQ2lwMFYzNFBSanc?oc=5,하,,5,
관세,WP “美‘강제노동 관세’는 새 꼼수”[횡설수설/김창덕] - 동아일보,WP “美‘강제노동 관세’는 새 꼼수”[횡설수설/김창덕]&nbsp;&nbsp;동아일보,"Fri, 12 Jun 2026 14:18:00 GMT",https://news.google.com/rss/articles/CBMidkFVX3lxTE80QmhPNTg1R3phTjVSZENwaHJXMDRjeGV1cm1aRndkekVuM2pEMy1MeWt3cFlMZmFBbDFNamRFNUl5V0ZYb19XVXh3YTFvV0hnUll3dk9zNzd2YXRndElIcTI1T1BhZGswdG0wTXU2bXNLX08yaXfSAWZBVV95cUxPZGFlUFd1aGpTdFg3dE5jd1V6b0QtTDFLUjNaZDhGaF9PQjNjSzN3dThFQk1ocmVjQ0liMjFWOG9qY1hXSVBCV0lKTnBKbFdqZ0xBWGdYMHhrQkFwajlxNXpNZEF6NWc?oc=5,하,,5,
관세,"한미 관세당국, 우회수출·마약류 밀수 단속 협력 강화 - v.daum.net","한미 관세당국, 우회수출·마약류 밀수 단속 협력 강화&nbsp;&nbsp;v.daum.net","Fri, 12 Jun 2026 05:42:00 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTE1haER1bTZmY2c2UURUY1FwQ0Y4VmZiTEM0cjlQVzVyaTFFdzFzR2JycDBmSEphMXBNa1dSZDgzenR1QUE2OGhMZ1ZpbjdlVzg?oc=5,하,,5,
관세,"""10% 글로벌관세 계속 징수""…美항소법원, 1심 판결 효력 정지 연장 - 머니투데이 - 머니투데이","""10% 글로벌관세 계속 징수""…美항소법원, 1심 판결 효력 정지 연장 - 머니투데이&nbsp;&nbsp;머니투데이","Fri, 12 Jun 2026 02:55:21 GMT",https://news.google.com/rss/articles/CBMiaEFVX3lxTE5hZ0NtN3RXNmtUanJXSUdxWFdwSnRPMHRNS1c4d3l1bXpNcmxkcUlpU0x6alhrcDB2U3l1VW9GV3B3MFU3SDl2LXY0emVxQ3cyOUpyYlpkNnRpbll6V2FSTmRuUnpRc2FY0gFuQVVfeXFMUFc3VThNZko4UlRWNzlxd1E4Z01NVzhvdFFsY2I3SWNfZXZnVTczZ0FxWVR5Ul9ET1gxWWg0eHdkRHk0NGdRd0J6YWhUQlBZaTRzT09icmh2eVI4NWFkX281VlNLNHR4NnV0WGlLb0E?oc=5,하,,5,
관세,"‘관세 직격탄’ 철강, 美 이어 핵심시장 유럽서도 ‘비명’ - munhwa.com","‘관세 직격탄’ 철강, 美 이어 핵심시장 유럽서도 ‘비명’&nbsp;&nbsp;munhwa.com","Fri, 12 Jun 2026 02:58:05 GMT",https://news.google.com/rss/articles/CBMiUEFVX3lxTE9SM1k2U2JBZTg1dDRvQlg4M0hlZXE0RXVESEFNd1pzTVBUMXpFQmZVcEo5SC1fT3Y1V1Y4eXhfUkgyekd4NzZ1cDhjcXVCbDli?oc=5,하,,5,
관세,5월의 관세인에 '해상면세유 불법유통 적발' 김경환 주무관 - 이데일리,5월의 관세인에 '해상면세유 불법유통 적발' 김경환 주무관&nbsp;&nbsp;이데일리,"Fri, 12 Jun 2026 09:03:54 GMT",https://news.google.com/rss/articles/CBMigAFBVV95cUxNZnVQT0k5NWh6WDRfand1VWNBYy1ScWM3aEFuR1hhX1p5aGVYenAySzRzRjIzbVliTWVNZi01czBvbVNrb09ZZUZHZkE4bmNZTTFOYldyRjV5MFpMWS02WUNlR0VVTjhuUVlDQzhpbGszMDNtaWRrbDJuZG5CZUs0dw?oc=5,하,,5,
관세,"관세청-美 관세국경보호청, 무역안보 협력 강화 방안 논의 - intn.co.kr","관세청-美 관세국경보호청, 무역안보 협력 강화 방안 논의&nbsp;&nbsp;intn.co.kr","Fri, 12 Jun 2026 07:49:08 GMT",https://news.google.com/rss/articles/CBMiakFVX3lxTE9ETWdhRnVFNHctY2wtM3o1b3VwcjdoNUtoUk0zcHhxLV8teXJEbTZhRU9RT2UxTFNLV3lvdTlONWlSN01HWjd6QXBEa2NReUFjT0FfNi11MWFaMWphYU9wT1dkU3RJMFlkb0E?oc=5,하,,5,
관세,"한·미 관세당국, 무역안보·마약단속 공조 강화 - 한국세정신문","한·미 관세당국, 무역안보·마약단속 공조 강화&nbsp;&nbsp;한국세정신문","Fri, 12 Jun 2026 07:07:25 GMT",https://news.google.com/rss/articles/CBMiZEFVX3lxTE10NGVJMEhqV2xGMHRvcDRUWFVNT2lMRWpEcGJkVDVaaVNHckV0X3RmWFlhSVhiQUpudjNyUUtxVDI1S0s3QUlQU2NuMzhGZndOY3czcm5UZ3J2T0txYzZpTVRwdlE?oc=5,하,,6,
관세,"특허 승소·관세 환급·ESS 수주…‘호재 가득’ LG엔솔, 엔비디아 협력도 조준 - IT조선","특허 승소·관세 환급·ESS 수주…‘호재 가득’ LG엔솔, 엔비디아 협력도 조준&nbsp;&nbsp;IT조선","Fri, 12 Jun 2026 21:00:00 GMT",https://news.google.com/rss/articles/CBMicEFVX3lxTE50TWpIRTRqQmZGQjFNUVd4S1FyN2lla1NCRjUtOGY0Zk5UMGp3RXFVRV9EZDF1VWN0ZDEtbURTMXJuaDczVFhWaW1CdzF5SmVjcFBwZU0tekx1ME9qYVY0ZmVsa1ZrU3VBNHNrZ1k0bU3SAXRBVV95cUxPMVpnMW9pNkNWRmJZd24zVXNIY3doUVU0WWVnM0RRVGtKQTVjNWVvT0Z4X3ZYN0lYdzExTFFzdFN2VUMydHR3aDd3TWFSYnNpaV9YTVdfUlNtd2x6VXljek1LR0NTOEVlTDRlZnRIR2pzT3RVVA?oc=5,하,,5,
관세,원유·LPG 한시적 0% 할당관세 ‘종료 vs 연장’ - 이투뉴스,원유·LPG 한시적 0% 할당관세 ‘종료 vs 연장’&nbsp;&nbsp;이투뉴스,"Fri, 12 Jun 2026 14:23:08 GMT",https://news.google.com/rss/articles/CBMiZ0FVX3lxTFBRaHg2ZEh5RUxGTzNIZVREaUdLS09STEpFUlB1SVk3T3RQMHdlWktBV2g0UEhKZEg0SjJkdWhjaG9Sb2E2ckJ0X3BDVW9ZMzNUQTczMnBSYVM5MHpycDB3N05CYkhPQknSAWtBVV95cUxNTjU2SjgycUlIeEZod19zMEZHZEpMQVpsdnJXak9RWXAxemVwM1JWcDE1Y2RFQVgwUjgxX0FEdlEzMnVPNlg2WS1QWWl4aEFrTTdaSnJYeTVMRFMwTURZSzExN29qUE1ZTHpPNA?oc=5,하,,5,
