제시어,헤드라인,주요내용,발표일,출처(URL),중요도,대상 국가,점수,비고
관세,"“미국 정부, 현재까지 30조 원 관세 환급…총 예상의 12%” - KBS 뉴스","“미국 정부, 현재까지 30조 원 관세 환급…총 예상의 12%”&nbsp;&nbsp;KBS 뉴스","Fri, 29 May 2026 00:01:57 GMT",https://news.google.com/rss/articles/CBMiW0FVX3lxTE50MHkzZ3B5dThyM1BUVUR4YW9KYXpCeTJzdDNWSTNFckFMTFVwQ2dTNm1IOHR4Qk1QeGozVmZCNXUxVGt4UDdVU2haWVNqTDhOeHVZSEhTUnBneFU?oc=5,하,,5,
관세,"산업부, 이재명 정부 1주년…韓美 관세협상·수출 7000억달러 등 성과 - 전기신문","산업부, 이재명 정부 1주년…韓美 관세협상·수출 7000억달러 등 성과&nbsp;&nbsp;전기신문","Thu, 28 May 2026 05:39:59 GMT",https://news.google.com/rss/articles/CBMibEFVX3lxTE1lQWpUSHhQeWRCT2VnNXlvMDF3UUcySjhzYUVxVk94emlJRUtfR1M2SmozRUo3R0Jabkg0ZTJVN005ZVZ3QlVTSGpnMTlibXlyQ2lDNU50dzRWbjREMUN2dmRlZFdvV21meldmONIBcEFVX3lxTE15dVFlcklDeTNOQnFJUm1Zdk01SzZYX3JkYXNjcGRKbzctRjVxc0xDRzhZVkpIMFpfUS1RbzdabkpBaHBQV1MyRWNXaURsRVBXWXZheDMwT2R1dUNkaXpMN2hQNzNTREdOUERCbEY5RnA?oc=5,하,,5,
관세,산업부 1주년 '관세협상·역대최대 수출·AI 전환' 성과 발표 - v.daum.net,산업부 1주년 '관세협상·역대최대 수출·AI 전환' 성과 발표&nbsp;&nbsp;v.daum.net,"Thu, 28 May 2026 02:36:10 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTE5IcGM2ZXZtNEFuTGtucXJENFZtM3FoRnpEeUVpNTZhUksyUThYN3pjMWdFZUtiZjEwbkZCcEhod0VyLW5Cay1yTWQtZDRnczQ?oc=5,하,,5,
관세,한미 관세협상 타결부터 수출 7000억 달러 돌파까지…'위기를 기회로' - 대한민국 정책브리핑,한미 관세협상 타결부터 수출 7000억 달러 돌파까지…'위기를 기회로'&nbsp;&nbsp;대한민국 정책브리핑,"Thu, 28 May 2026 08:13:47 GMT",https://news.google.com/rss/articles/CBMibEFVX3lxTFBja1NpQVpManoyMXNtRndrZGlIdzVVVDNKWV9IMkVLdGNfX1gxUGJWSmgwU2VQUzk0bzZpWDFjbXV2Z2p1dHZBQlo3d1IzUGZEWDhDaWRGOGFfb3lKa2ZyYXNoWmNYVU9uS0FvNg?oc=5,하,,5,
관세,"EU, 중국 상대 수입할당제·관세 등 세이프가드 사용 확대 방침(종합) - 연합뉴스","EU, 중국 상대 수입할당제·관세 등 세이프가드 사용 확대 방침(종합)&nbsp;&nbsp;연합뉴스","Thu, 28 May 2026 09:25:32 GMT",https://news.google.com/rss/articles/CBMiW0FVX3lxTE5kYm5pZEFZejBnYWdCbTNNYmx2TGd4eHZxOHV2ODVrSld1Qm4yQThhOUY2WTJRWkpyenhUMGg1elBLQ1FRNm5hZDNvcG1oU2h2OWp2S2pTZ3dJa2vSAWBBVV95cUxNT1pRdWtCQ1hDdC1VeTZUQ3dTaGo3a0NBTm5HZl9oY0luRXM1bUMyVHRuS1hXRWRnTzMwTUNQakxJMzNSN0pkVlNDLXpmalNMdzc1ZHhxUGZ2YTNzaV9zel8?oc=5,하,,6,
관세,"“중국산 수입품, ‘실존적’ 위협”…EU, 수입 할당제·관세 사용 확대 방침 - KBS 뉴스","“중국산 수입품, ‘실존적’ 위협”…EU, 수입 할당제·관세 사용 확대 방침&nbsp;&nbsp;KBS 뉴스","Thu, 28 May 2026 07:24:00 GMT",https://news.google.com/rss/articles/CBMiW0FVX3lxTE52ai1aM0ROQmZKRkhFaHRfWW9yNHFUMlF1ckZja1lsWEU0Q3l5cEg0MkdsOVViTFhLUE0xS0hmZmlWcFVISF85bkEyb1FRc1R3Q3JSNjFvdENtNXM?oc=5,하,,6,
관세,트럼프가 무역장벽 세울 때 중국은 아프리카 관세 철폐 - 머니투데이 - 머니투데이,트럼프가 무역장벽 세울 때 중국은 아프리카 관세 철폐 - 머니투데이&nbsp;&nbsp;머니투데이,"Thu, 28 May 2026 11:27:00 GMT",https://news.google.com/rss/articles/CBMiaEFVX3lxTE9yVmRVeDNjYjRmWG9mX0s4R2otd2c0b3h5cmlSdVVBazllbTBPaVhLdlRGck9aYkNuNUZ2cElfTlZmaEdEekRGVHBwbFBWcUxZUGluamxVaWpPemYzd1U5bXFiN3NwcEhO0gFuQVVfeXFMT1Z0WFhCQngtTzA5VHFBSTBtVEtSVEpZMnRTcWRXaWxGTDRFU3htbUx4SUJvTWw4bXJSb2llZVpBNFdLSVR1dVVveFdGMEsya3E5UFRRN0Ytc1licjFwMnVwY2otNDZLZVhfQ29QZVE?oc=5,하,,6,
관세,"한은 ""美 관세에도 韓 비IT 수출 점유율 선방…중·일·독보다 하락폭 작아"" - 연합인포맥스","한은 ""美 관세에도 韓 비IT 수출 점유율 선방…중·일·독보다 하락폭 작아""&nbsp;&nbsp;연합인포맥스","Thu, 28 May 2026 21:03:22 GMT",https://news.google.com/rss/articles/CBMicEFVX3lxTE5HRnVtQWV0LW84RlQ3TExDZlcxZTVJcmRfekItakpPWGo4SGpDT2NjY085VG4yYTVvTjdjbEd3T014S05UUk02UWxDcEYzWHdYbHdmTjV0ZFNWY3dfc3VaeUE3X3RLcVZOdE1zX0FxMi3SAXRBVV95cUxQb3dDNGV5OWpTX2NPczQwQlBIY1E0R2NlRnVwd2p1YlNISWhGc3N5M2xCc2tKOXRVaXpUbnVwZDhsTkZEUmp3NEJucWxqdkdpcTVsVmNCNzlWeTliYnVTdC1XUjJ4YzBuU0dOdkFzLVNoM0NSQg?oc=5,하,,5,
관세,미 관세에도 비IT 수출 선방⋯독일·일본 제품 밀어내 - 아이뉴스24,미 관세에도 비IT 수출 선방⋯독일·일본 제품 밀어내&nbsp;&nbsp;아이뉴스24,"Thu, 28 May 2026 21:00:01 GMT",https://news.google.com/rss/articles/CBMiTEFVX3lxTE5MNXhEcXVQTWN2YmpQOFgyNHNJMzJVYzdvdkp3LXJLV2pMc2VSYmxNNWlMOWNJdzBZV3ZhWHdvaHpwX2huem5yS0VlT2Y?oc=5,하,,5,
관세,"中 공세·美 관세에도…한국 비IT 수출, 조선·방산으로 선방 - 파이낸셜뉴스","中 공세·美 관세에도…한국 비IT 수출, 조선·방산으로 선방&nbsp;&nbsp;파이낸셜뉴스","Thu, 28 May 2026 21:00:00 GMT",https://news.google.com/rss/articles/CBMiWkFVX3lxTE1KVzJBQkt1YVRKUGVWOFhWLW81WmRuU1FaSV9tc1FpUkR0ZXhNQUtDVEZWLTNibEZaTk1mZW10Tlo3MnROTXJkLTJGZ1otenl3ck83WlpYREsyZ9IBXkFVX3lxTE5QVHNLV2JoMFNlRVNEN3M1eTNfWGhhLVphdTFVME83UlhIaGhNOFRYRllCWFBTQ2F6MzlaZ2I3SmdVS0hjWUFKTm5Gd0NHZ3FMSDl0TXotYmpTckRqcmc?oc=5,하,,6,
관세,"美, 대만 달래기? 일부 관세 철폐...21조 무기 판매는 - 서울경제","美, 대만 달래기? 일부 관세 철폐...21조 무기 판매는&nbsp;&nbsp;서울경제","Thu, 28 May 2026 21:35:00 GMT",https://news.google.com/rss/articles/CBMiUkFVX3lxTE12SFEyUlAyRzZqNEJtbGZWR09vZlJZSUdoWGQ5Sk9VZHFiQzdoQU01SFBLNEpocFduVWFHaTM3cjFpWExIakhSVzlvbTg3UUhFemfSAVNBVV95cUxON1EwTnR3ZkFiVENhQ3RmXzZlQUNheFZEVGNlSE1tOHBicC1DX3JfYUI1LXViNGs4OE0zUjhOWlJSNDlLSlE1M21SOF9XZDJpcTRvWQ?oc=5,하,,5,
관세,"중국산 폭격에 무너지는 유럽, '관세 폭탄' 빼들 수밖에 없는 이유 - 한국경제","중국산 폭격에 무너지는 유럽, '관세 폭탄' 빼들 수밖에 없는 이유&nbsp;&nbsp;한국경제","Thu, 28 May 2026 22:59:52 GMT",https://news.google.com/rss/articles/CBMiWkFVX3lxTE5TLTFHLWZMSzRabmdKdHFCd1R4M0lIZTl0ajhQcDdJcGVFUXFmTUdoYldmR0dmeVRaTWJrWTVLVEVoUkMtMzlDZFFoUThrVzctRlRmX0JTZndKUdIBVEFVX3lxTFBfMnk5dC1JS2lzZjN2eHh1NTkxQ212RHV2ZWpBd01ZRU55V1NxcUM3MVJIamtYTVd0MVFSVE1ndFQ3S0pPQ19FWVM2bU9hVFFVQ3NRMg?oc=5,중,,7,
관세,"""美정부, 현재까지 30조원 관세환급…총 예상규모의 12%"" - 매일경제 마켓","""美정부, 현재까지 30조원 관세환급…총 예상규모의 12%""&nbsp;&nbsp;매일경제 마켓","Thu, 28 May 2026 21:34:32 GMT",https://news.google.com/rss/articles/CBMiUkFVX3lxTFA1RU1fUTFLbkpSOE0xZjJfREVtZC1yMUN2b09LMVFoMmhLanMtdUp1Y1VRQ0JXOHY2OWpFTTV5blVsOHFvbWtmdmNMTkJEdERoOUE?oc=5,하,,5,
관세,"대구본부세관, 중동지역 수출업체 관세환급 지원 - intn.co.kr","대구본부세관, 중동지역 수출업체 관세환급 지원&nbsp;&nbsp;intn.co.kr","Thu, 28 May 2026 12:18:00 GMT",https://news.google.com/rss/articles/CBMiakFVX3lxTFA5Rldfb2hJZ2lyY3NwZXZuVzFYQWtGQ3l2enJsajlQQmxpMFNGUHdkNGtYYzR2M043LWpWQ0RkMllGUzVDMHZTdnd6MWpwbGo1S2xpdUpZWlZUanRqdWpkMXFZZTdCLV9vUUE?oc=5,하,,5,
관세,"“美, 관세환급 현재까지 30조원…총 예상규모의 12%” - 헤럴드경제","“美, 관세환급 현재까지 30조원…총 예상규모의 12%”&nbsp;&nbsp;헤럴드경제","Thu, 28 May 2026 22:13:48 GMT",https://news.google.com/rss/articles/CBMiVkFVX3lxTE5VVE1QaDBNX25hQ1NSbXRyZHFhV1ByNXdKNWJHTXJwWVdnTzRoRjhwMnZwWC1WRkczSk9wWl9IdjZ5YTJPd0FiemZVamFCdzhjWnZnNTR3?oc=5,하,,5,
관세,"EU, 중국 상대 수입할당제·관세 등 세이프가드 사용 확대 방침 - v.daum.net","EU, 중국 상대 수입할당제·관세 등 세이프가드 사용 확대 방침&nbsp;&nbsp;v.daum.net","Thu, 28 May 2026 07:27:02 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTE9oWTVTZnZoNXBQWHE4bURYVUx5bzQ5UjRJbkk4NFdxWW83SmJ6X09ibTQ4OXdsRnN5eUxTQ3FwRnU5Z1lnM3dXU0xOTFVlSmM?oc=5,하,,6,
관세,트럼프 관세 환급 30조원 돌파…월마트·애플 등 줄줄이 청구 - 뉴시스,트럼프 관세 환급 30조원 돌파…월마트·애플 등 줄줄이 청구&nbsp;&nbsp;뉴시스,"Thu, 28 May 2026 23:10:03 GMT",https://news.google.com/rss/articles/CBMiYEFVX3lxTE13eEl2WjlEUlhvOGhROHU2THhXQTY3aFdEeG4xclIwUGJGUkhIaFJvUnhCQzFVeS1UZWRiVG4tS0F2a215NGZ1eWJfY2JLQ3hhOXRqRlVIWVF4Q1VnbW1NSNIBeEFVX3lxTE9ORVlpSFRlUkt1b3ROel9GNUk4aUFSd1UzQkF4ODV5SlFTUEFNOWZlQUVTSXNzZ0hEbHhhSEp1S1RCT1oxVjFrZllRbG1UVWdyWVNPWEoyNmFqcWtEYlJ6R3FYek5FR0NhZ3hudTEyTE9oZXFVcUZBNw?oc=5,하,,5,
