제시어,헤드라인,주요내용,발표일,출처(URL),중요도,대상 국가,점수,비고
관세,관세·중동 파고 넘은 李정부 1기…2년차 국정 드라이브 진용 꾸린다 - 뉴스1,관세·중동 파고 넘은 李정부 1기…2년차 국정 드라이브 진용 꾸린다&nbsp;&nbsp;뉴스1,"Sat, 30 May 2026 21:00:00 GMT",https://news.google.com/rss/articles/CBMiW0FVX3lxTE4yRjU3aDExekxGTXdtRzhUa1pKU04yLXBQUndjMmR6OWk3dXdFelBrc3RuMG1DbG1lZFpNdkFGY0pBNjNOMnlqQWV0REFhczJaakwxVTR5Y1Fsdjg?oc=5,하,,5,
관세,[이재명정부 1년] ⑤ 관세협상부터 중동위기까지…도전 거듭된 실용외교 - 네이트,[이재명정부 1년] ⑤ 관세협상부터 중동위기까지…도전 거듭된 실용외교&nbsp;&nbsp;네이트,"Sat, 30 May 2026 21:02:00 GMT",https://news.google.com/rss/articles/CBMiU0FVX3lxTE9FSl9MQVcyLUw2dWJOTDduQXYtQjVyNHhIY1VydUJmRW5KMS1scFhobC0zZVFZallSdTNaaVdxSHo2dGRweTY2S0lVdUdWV0ktSEVB?oc=5,하,,5,
관세,"[K-전략①] 트럼프 관세, 동남아 생산기지의 계산법을 바꾸다 - 케이트렌디뉴스","[K-전략①] 트럼프 관세, 동남아 생산기지의 계산법을 바꾸다&nbsp;&nbsp;케이트렌디뉴스","Sat, 30 May 2026 11:28:36 GMT",https://news.google.com/rss/articles/CBMib0FVX3lxTE9CZkUwcDN3cmw3bWEyaExjbkszdFNPay1YMERuU2V6UzZZN19zaEVlSzVsb1VqZkFWSENQQUtLcDU2dXhPWjBSV044N2dySzMyczVhdlZfZjVxQV9wbWFFTXB6aExjRkVEWGlzMkNCaw?oc=5,하,,5,
원산지,"미국, 車 원산지 규정 손질 추진… 현대차·기아도 영향권 - 천지일보","미국, 車 원산지 규정 손질 추진… 현대차·기아도 영향권&nbsp;&nbsp;천지일보","Sat, 30 May 2026 13:19:21 GMT",https://news.google.com/rss/articles/CBMiakFVX3lxTE5UX1RJODlLY1owVThnc29fbkVoXy02bEJ6S2I3cEJUa0xHMHVVV3ppa0lXcHdMalQ1VERGOGI3WHhOM0xGSzVFU0t3eWxsVXNsUTJ4cnZZRUxfblFuSG5TWEdhVE0wU3JRY1E?oc=5,하,,6,
원산지,"트럼프, USMCA 자동차 원산지 강화 추진…기아 멕시코 공장 부담 커지나 - 이코노미트리뷴","트럼프, USMCA 자동차 원산지 강화 추진…기아 멕시코 공장 부담 커지나&nbsp;&nbsp;이코노미트리뷴","Sat, 30 May 2026 07:17:51 GMT",https://news.google.com/rss/articles/CBMid0FVX3lxTE5ob01qM3hxT1Nic1FEODVLYmZ3UHpMZk9Ld25mY2hMU2Y4bmIwRlZVSW1za0pReW9XZ0V5Y3lfRnh6bFRyeGUyMEZnMHQzT1djUGJzLVRlM2tRdXVPSmt5X1JORWJBNTRUdjhHZFo3LWxON2RsU1I4?oc=5,하,,5,
원산지,'2026 껀터시 원산지 추적 연계 기술 공급-수요 및 주요·OCOP 제품 연결' 행사 개최 - Thông tấn xã Việt Nam,'2026 껀터시 원산지 추적 연계 기술 공급-수요 및 주요·OCOP 제품 연결' 행사 개최&nbsp;&nbsp;Thông tấn xã Việt Nam,"Sat, 30 May 2026 00:05:08 GMT",https://news.google.com/rss/articles/CBMirAdBVV95cUxQRjZQVGZlZmIyS1FqY3BMRDdOWmY5R2hEN0R1R080bmNXYXNfUWMxT1pNYVdVLTR5ejBoT1U2aTRDZzVWaG5Ua3RfQW1xeFhRdmNLVXJfNGJnaDRIbmVNLVNUek5COUtqMWF6Wi1pb3d0eW85czhzZDNPY2NtMko2cWRndnpLODliUzZKQzBaS21JeTN2cXpUMUNmSDVaUVhaSWV0eXRJZXNkUVVtcWNBMnpzUHNIOEZnUnVOT3VLb0VhbUZZYW1kNmFKUTBLU1AxWndPWmptZmVwMTVqQXR2dTF5aW5JNU5LeEJJNzFkdGVIRWVUeER1M2pGQ1Z1RTBIb2xwT2Y1aGZNV3Z1cnRzdFNhVDhuOHNvQUk1Nnd0RnFfdlBGUEkwTW1Va2V3YWM0c1Zia0pkMmZDb19RZ0dMSGpkZGNIMHI2ZW5udEZJLUNnT194OXZYYkZPdm1vLTBjc05TTlNBcTgwVGpIeVFMZTdJOHQ2V1BRYkZ2Z3VCTEtyd3RXcUVfaXZGMjdjUkdGaXZ1QzJobVFiNjdsMDBRNzNLc05uMXd2clJySHdhOS1GMEg0cWx0MjllOE9UdnVscHJoWEJLNkl1Z3dtZFZDQ3JqY2MzdWM3Q1IxUDNod0ZrQnFXeVhQaHVUUkpTNXl0VXo2TzRrclJ5QkFIVmdtRFhWNjZqV3ZHWFVmQkI1Q1lwUjVabVN0MkhndHhwaEZSVFFlRTRXajBQX2VZcVh4SU4xSFVOUFlUVGNFam9DRnM5WGdoR3hEejlybk5EaTZEZWFWNHFvUGdfSkdZTlhfc2hJeENHelg5aVRHZFctVHp5U2pwWkRNSHZ5d2JhZGNWbXR0TkJRSTFOTFVNYmUyVjRPUGI4TnE5UldUQzVLdjVYalRDR1V0X1FZZkxPMF83ZWFZQXRvQlp5MnVqSnlUdlJWQ2w3NU4wTmhvSVBTTDk5QXNYdm9WMEVya01ScDlKYzdhVWx5SFV5M3pkZXdBQmlQckRmSm5vVEpCZ2VPTi1mWm1ocHJqSThyU3NnclBEZ3V4VlZRb0Yxa0xsVkZubW9SQnlzNW5hVURMdXFpTEpsWlJSUlRxUjVnNTB6R3VjMy1rc1R3M0k0RmRoSE8xT094LTg1azJDWDN5a0steHE2NE5wU05Lc1h1XzJ0SGZaQTRKNnloaVo1NnFGaE9VcjRvZkNxNzZaUldrVnFLaUlubFhPdldDY3J4ZjlqUlZ4d3JZWDU1YVBNdTVO?oc=5,하,,4,
원산지,"美, USMCA 원산지 규정 강화 추진…북미산 비중 상향 검토 - 직썰","美, USMCA 원산지 규정 강화 추진…북미산 비중 상향 검토&nbsp;&nbsp;직썰","Sat, 30 May 2026 00:49:20 GMT",https://news.google.com/rss/articles/CBMiaEFVX3lxTE9XeFhiYjBEMjB5MEVJTklQWE1kNDhiREg5ZTE0NWxoVC1NSW10YXhxNU9FT1JnazZXRV9BUERmclNCdkYzMk56MExLUnRqV2FOdnFQaG9BaGVwTkZrdWFDSDRRVHlrNmR30gFsQVVfeXFMTXlYVGR5cTc3cG9nYzVDZTNkc08wSnFNYS1kanBCM2xRN2N4ZHlfa25oZmYzb0NHNXIzV0tZV1AzbzdaU0VkRUJPbGRkdlI4SG9uNEdQOVZ3U2dxTks1UVBCR1g3bVpVUHZhTjJz?oc=5,하,,6,
무역구제,"유럽연합 5개국, 중국 향한 무역 대응 강화를 촉구 위한 비공식 의견서 전달 - 아세안익스프레스","유럽연합 5개국, 중국 향한 무역 대응 강화를 촉구 위한 비공식 의견서 전달&nbsp;&nbsp;아세안익스프레스","Sat, 30 May 2026 13:30:38 GMT",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE5RQW4tU052VFo2c0xsZWdSNUlSQ0N2amU1WkthNVZEblk5ZC1uRFQ5dkNPdkpCdXBuREYwU3dYNXpxX1pyR1ZTaTBuOWs3TTllTjl2R2Z4bWpZNG9jeC1rRTlSbGIxT0k?oc=5,하,,2,
