주요내용,발표일,대상 국가,관련 기관,출처(URL),중요도,비고,제시어,헤드라인,근거건수,점수
"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News.",2026-02-16 06:56,,,https://news.google.com/rss/articles/CBMiXkFVX3lxTFA5TEQ5cW5BZm1NQ1BfakYtTmdSTDNEcVhPRlBNQW45ZjV5MC05c1pVeldaQVhmZ3phM1c1QmlDbDEtS3AyaTV4RnhuT0gwbUVFai12QU1sNDllSWtPZVHSAYMBQVVfeXFMTnNwUjNXWFdSUVc1M2I4Zi1lMUpUZ25QNWpnTk53ZnFGcUgtRnN2RjBneVhCaWVlNk9xelVzSTlyZFN3VkNaZG5nRjZIbGw4UmdudVVCQUxLelJaU1JXVnVlVW55ZlNTTkV4QXU2OGRuRXN2LWxIZS1LbWlnTE85eHJ6Nzg?oc=5,하,,관세,"[YTN 실시간뉴스] '정국 구상' 이 대통령, 집값·관세 고심 - YTN",1,5
"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News.",2026-02-16 06:50,,,https://news.google.com/rss/articles/CBMiUkFVX3lxTE9ZOFBlenNJMExIVzJONVhzbWVLR1BZYzN2UmRwYllSVm5mZHlDdXFkYXJzUzE3NmpKbEVDZlNWelpPVnhTdE9JSzRrWFVqcUUzekE?oc=5,하,,관세,'11조 관세 폭탄' 맞을라…뒤숭숭한 K-자동차 - 노컷뉴스,1,5
"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News.",2026-02-15 22:46,,,https://news.google.com/rss/articles/CBMiXkFVX3lxTFBvWE5FZ3Nwc19kdXRzcnQ5bFVxeEtVNFVHYmpJZng0eHg0Y25yT21OWFZJWkpkb1FmOTZBeDJ5QXI2U3N5X1luZEtsODVqLXM1WU1yVExyQldzTXBGbWfSAYMBQVVfeXFMTTlaOHNlQnU1VUxxUUhVT1JiZFV4Z0lNdUFiR3YxNG15aVRhLW5teC1hN0lYRVlVc015N1hsOU9ZNktoWlFXUDJCcEdhakZWQy1VY05zdUhReFNMUXVmTDRGRnhkbXJNdGdSM2FhMUVqRTdtVzJBeGplNDdOellaOVNxMms?oc=5,하,,관세,'정국 구상' 들어간 이 대통령...집값·관세 해법 고심 - YTN,1,5
“관세? 말투 짜증 나서 올렸어”…트럼프가 직접 밝힌 충격적 이유 [송현서의 디테일+]&nbsp;&nbsp;나우뉴스,2026-02-15 19:41,,,https://news.google.com/rss/articles/CBMicEFVX3lxTFAyQ2VGVTBjc0FDZC1ydldfbF96RGE5M05wVm1ZMGRTeTdZSlhidDhlSW1WVmpXNmNOVkFic3czbEk2TUxkeVd0bkxMeER6TEtUN3hVUW4zMjd1TjJxNjViSEFxQkZXQ010ZFlCV1Q5clM?oc=5,하,,관세,“관세? 말투 짜증 나서 올렸어”…트럼프가 직접 밝힌 충격적 이유 [송현서의 디테일+] - 나우뉴스,1,5
"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News.",2026-02-15 15:31,,,https://news.google.com/rss/articles/CBMickFVX3lxTE85VE5ZVjlrVjZWbDVlR1ZZOFNGeFBwdDY0YTYxTDZmWGM2SHh1Z0cxSTZwaXBHMkZIRDBWVTVzTlowZnl4SkJkSHIxUEVSV2hDMVJ6cFlEak5SSE9DWWhiVkdOcUhBYWw5dTkxX05WUnc1d9IBdkFVX3lxTFB6akxRZEpFeEx2YUFVcjBDejBpRlhsT2tCQTNrWDRUVHlJWFMyT3ZJeU42N1p3b1p2V1JMdHJFWWVQcUt1cHRyM25lSXIyUjJ5QktxTGNfOVRQb0pXcEhEX19DR2NLVTJkTTh5dHBUZEE5M2VJYlE?oc=5,하,,관세,코스피 급등 국면에 통상 압박···관세 리스크·미 판결 변수 - 시사저널e,1,5
"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News.",2026-02-15 12:06,,,https://news.google.com/rss/articles/CBMiUEFVX3lxTE5lSWxfTGpCY0NYR0Y1c01WVEZOMEM4NEhvR1U5SG9xRTFHcVlYUGNha3V0UmdybHN0X3hPVTBpZzZTam5acHItdGpKUTJjTUFz?oc=5,하,,관세,"이대통령, 설 연휴 외부 일정 최소화…부동산·관세 등 정국 구상 - 문화일보",1,5
"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News.",2026-02-15 09:36,,,https://news.google.com/rss/articles/CBMiWkFVX3lxTFB4WEdCejhISEZibFBibGF6SWxPSEpzOE1kMTNESWhZWDZPelN3VzAzTUVkdDZwQXNsUWdaTFJ6OVhFQ0RxN2FwSmtXdk1tWk9ZdnN3T29OckM0UdIBVEFVX3lxTE05STdubHF2ZGtaNnB0TG5DVXhuX3o4dTA1cTJhQzdSU1lxNTBETkhhSVczanBLNzFUdl9aNEd3dVZQNkdHcEZYdnFROXF3UU1mbmxPOA?oc=5,하,,관세,"""말투 건방져 관세 9% 올렸다""…'트럼프 불확실성' 상수(常數)된 통상환경 - 한국경제",1,5
"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News.",2026-02-15 08:53,,,https://news.google.com/rss/articles/CBMiakFVX3lxTFB6N0pwVmY1dnR2bXY5Znl0TXRqQnhjYUlfSlN4TVpxaXhxc3VhVzZlVGJ5UTV6LWpRRzhDOGprOFdKOEpSRmZSa1hEaXJfMzRCcFFILWpDYWVZbExJai1UWnc3X09NNzhXNGfSAW5BVV95cUxNQ0ZNZjQzdXRORHN6SWp2cy1uRnh0NVJlZk1JcjlVR2w5N0pWSUtVbnJfRmZIVS1KcUdpbkpFcFBENVdPMWJvNjk1RW8zWGdEZmdqTkh0bGNibFpUczVuNG1NYlI4OHFfaTl0U2dLdw?oc=5,하,,관세,[기획-트럼프 2기 관세 리스크④] 관세 파고 앞 정부 대응책 충분한가 - 뉴시안,1,5
"Comprehensive up-to-date news coverage, aggregated from sources all over the world by Google News.",2026-02-15 08:00,,,https://news.google.com/rss/articles/CBMic0FVX3lxTE5BVEp2Qm5TZ3ltbFFyLTNOYndGMllWYUZJcVNmYnZ3ZjlJcGJxU25CN2VJcWlNMHo3RFc3M3pocGFDNVNNRlRSQVRCREFIM2wyRFBYbTRhZEFBeFJrQjU4V09RbUMxaXNtQ3p6eWNlR3VPRkE?oc=5,하,,관세,트럼프 반도체 관세 예고1년...뭐가 바뀌었나 - 디지털투데이,1,5
