제시어,헤드라인,주요내용,발표일,출처(URL),중요도,대상 국가,점수,비고
관세,"미국, ‘흑자국’ 브라질에 ‘25% 관세’ 위협···브라질 “정치적 이해관계” 반발 - v.daum.net","미국, ‘흑자국’ 브라질에 ‘25% 관세’ 위협···브라질 “정치적 이해관계” 반발&nbsp;&nbsp;v.daum.net","Wed, 03 Jun 2026 01:15:17 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTE12WXFBNUdYekR6YXVhZU9fMkY3VUdkcGdxc21YcmdHSzZmUHhNUzZTTjRfeXdLeUxlc3hUdW94UWEyajF5aURXQTZ4MzJpcGM?oc=5,하,,6,
관세,"美USTR 대표, 관세 부과 근거될 301조 조사결과 ""몇주내 공개"" - v.daum.net","美USTR 대표, 관세 부과 근거될 301조 조사결과 ""몇주내 공개""&nbsp;&nbsp;v.daum.net미 USTR 대표, 관세 부과 근거될 301조 조사결과 ""몇주내 공개""&nbsp;&nbsp;MBC 뉴스美 ""301조 조사 결과 곧 발표""…한국 등 70개국 관세 사정권 - 머니투데이&nbsp;&nbsp;머니투데이","Tue, 02 Jun 2026 15:48:04 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTE5Ca0Z1UGtueDMyTXB0RFo3Y2kzSkZjdkw3QmN3OWVrcGVsTm5oRU1CTllIUlNHdUpnR3pZZmNUZzktSkNKajA5WXVpYzFyLUE?oc=5,하,,6,
관세,미국산 철강·알루미늄 많이 쓰면 관세 10% 우대…트럼프 조정안 발표 - 머니투데이 - 머니투데이,"미국산 철강·알루미늄 많이 쓰면 관세 10% 우대…트럼프 조정안 발표 - 머니투데이&nbsp;&nbsp;머니투데이트럼프 “美 철강-알루미늄 85% 이상 사용시 관세 10% 우대”&nbsp;&nbsp;동아일보美, 철강 파생상품 관세 낮춰…韓 수출액 23억弗에 영향&nbsp;&nbsp;뉴시스","Tue, 02 Jun 2026 04:42:56 GMT",https://news.google.com/rss/articles/CBMiaEFVX3lxTE1EdnhLMkZVeWVRbmtuQmFtQ1ltdGxoSG5ZdjZDejRmTjhyYm9Qd0UyaXJZdWxCc0ZWX3V6OXQ3ZU9jdTh5R3IxU0JLd0lTY1pDT2FCMmc3UUh5YWNMekxCQVlJM28xaHU00gFuQVVfeXFMTzY2NWUtRS0wS1p5TzhHTDluVGNTdWpwb0JKU19uNm4zTDBnY1Ezc1pieks4YUlsMl9CQmhVZ09WSGJpMVBhbmhkTU1BSkttY1FlUUtESmlhcE1vaEV5emFjRVVaLUw4andpX1hfWlE?oc=5,하,,5,
관세,"美, '미중무역위' 의견수렴…""관세 줄일 中 비민감 품목 파악"" - 매일경제 마켓","美, '미중무역위' 의견수렴…""관세 줄일 中 비민감 품목 파악""&nbsp;&nbsp;매일경제 마켓","Wed, 03 Jun 2026 00:06:14 GMT",https://news.google.com/rss/articles/CBMiUkFVX3lxTFAwM3RUY29acmtNc1lpaWJiTERBR3JnRWtXczFPWURMRzdJb2RiYzZPMjFJSEZpMWZuc3A1bFA5bGt5SzNRX21NX2ZHMVlEUkFZVkE?oc=5,하,,5,
관세,"동국제강, 수출 조직 강화…AI 데이터센터 철강재로 관세 장벽 대응 - 전자신문","동국제강, 수출 조직 강화…AI 데이터센터 철강재로 관세 장벽 대응&nbsp;&nbsp;전자신문","Tue, 02 Jun 2026 08:00:00 GMT",https://news.google.com/rss/articles/CBMiTkFVX3lxTE1JQm5Ebmpkc25pc0pUTTJMMTNqeEc3N1dTQTdvemloX01weFphWmROemJKWVR0RjdReUVLQlBqaDZfemNDWmFtV3VtWXdWdw?oc=5,하,,5,
관세,"미국, 한국산 산업기계 관세 25%→15%로 인하 - SBS 뉴스","미국, 한국산 산업기계 관세 25%→15%로 인하&nbsp;&nbsp;SBS 뉴스","Tue, 02 Jun 2026 21:26:00 GMT",https://news.google.com/rss/articles/CBMiakFVX3lxTE1rTE9rc2NvSi1GU0U5VjJzTFk5TXRpOWNaVmkzcW5zRVg1TEt0TE52enpTRm1LWHd4elc1MjZFUlhQaHZoVEl3dVA3RGpDWmRvd3JFSVdZdklqbFRFOXo4dklXR0c0RHFYY3fSAWZBVV95cUxQR0xiUFpMUzNGeVlRNGYxZWVzMExGbUw0Qzl3OTdZWlAwZjgwOGNpSl96TVBXYzRCakNHNXY0VlFXMDloOVd0alhMN2xGV0poNUhjWnIzclFUQ3l3c045QU55MnZ3TUE?oc=5,하,,6,
관세,"디어 주가, 농기구 관세 인하 소식에 급등 - Investing.com 한국어","디어 주가, 농기구 관세 인하 소식에 급등&nbsp;&nbsp;Investing.com 한국어","Tue, 02 Jun 2026 15:03:00 GMT",https://news.google.com/rss/articles/CBMid0FVX3lxTFA3a3BGVnVTSnh0bVJfR2JDUW00VmNRVndOTGRBUzNzZlEyWVVQTjFSTjNyLWJ0V0NpYkNZYjNNU1p1a3poenpRSGJGRGcxLXJ3aURxRE5NWUozdW5md1ZfNV81czBmQlJvTzRjMWdQMVpudC1FUEtZ?oc=5,하,,6,
관세,"[NNA] 인도 정부, 수입 면화 관세 한시적 철폐…10월 말까지 - 아주경제","[NNA] 인도 정부, 수입 면화 관세 한시적 철폐…10월 말까지&nbsp;&nbsp;아주경제","Tue, 02 Jun 2026 06:34:54 GMT",https://news.google.com/rss/articles/CBMiWkFVX3lxTE9jMU1jb2poZ2Uyem9odkE2VkFyZE45THhFRmpaVFdJZHk5S0lmb1pSNVVlNDJMb3VGY2Voc1JDMGlQOC02RE00SlZONEZGem1xYXB3enFhZWVpd9IBWEFVX3lxTE9PM05aNG0xYktoM3VRQXg1U21BV0xWbElIWkNJak9BcmtRX0ExV1V5Y2JhQTVSQnlURGtqNXJ2eE1NNllJeTVPRFNRT0FhVlpaWHFoUDFEOVQ?oc=5,하,,6,
관세,"트럼프 정부, 농기계 및 건설장비 관세 25%→15%로 인하 - 한국경제","트럼프 정부, 농기계 및 건설장비 관세 25%→15%로 인하&nbsp;&nbsp;한국경제","Tue, 02 Jun 2026 12:58:33 GMT",https://news.google.com/rss/articles/CBMiWkFVX3lxTE9WYUxnNzdaWVR1N1prNnJMS01EWnFEcGVWbEd3TGhTRXdPeFRPa1VaME9NRlR2VHlYTmdiOVJIdG8xU3c2NWNhTkZteURGNWFwRi1TOEpiOGdRQdIBVEFVX3lxTFBmODVSSnk5RFlHclFOcWNjZE11TndUY2JpM2hSTTUxS2tHanB4UEVsU3hyWUFUTGJEZzFiSElqdVp6Sm5hc29xaTNiYlRrT0djek1sQg?oc=5,하,,6,
관세,"美, 한국산 산업기계 관세 인하…""수혜 품목 규모 23억달러"" - v.daum.net","美, 한국산 산업기계 관세 인하…""수혜 품목 규모 23억달러""&nbsp;&nbsp;v.daum.net","Tue, 02 Jun 2026 21:21:07 GMT",https://news.google.com/rss/articles/CBMiT0FVX3lxTE1INzBuWXFJRmJBcmNPLTF2OFZodjB6ejFnQW90Vjk1SWl2eVJIcHpsWm04TjU4QXB4UTRiblZYdW5SdXFoY1Bmam84X2V4ZTg?oc=5,하,,6,
